series,term_period,term_code,n,scheduled_residual,realized_proceeds,excess_fees
Volkswagen Auto Lease Trust 2019-A,2021-01-29,1,661,9423863.43,13836965.2,492.99
Volkswagen Auto Lease Trust 2019-A,2021-01-29,2,11452,183070021.77499998,260676696.247886,941895.87
Volkswagen Auto Lease Trust 2019-A,2021-01-29,3,183,2582495.36,3384070.4699999997,0.0
Volkswagen Auto Lease Trust 2019-A,2021-01-29,98,218,2918145.505,3199364.37,1460.0
Volkswagen Auto Lease Trust 2019-A,2022-01-31,1,3816,62260954.2,80096936.83000001,6950.0
Volkswagen Auto Lease Trust 2019-A,2022-01-31,2,24009,400725434.11,537445418.9130499,1276100.25
Volkswagen Auto Lease Trust 2019-A,2022-01-31,3,123,1605420.2600000002,2330464.68,0.0
Volkswagen Auto Lease Trust 2019-A,2022-01-31,98,84,1312998.67,688294.0,586.49
Volkswagen Auto Lease Trust 2019-A,2022-02-28,1,493,8531820.88,10516850.190000001,800.0
Volkswagen Auto Lease Trust 2019-A,2022-02-28,2,1689,30007198.855,37187670.419999994,11518.68
Volkswagen Auto Lease Trust 2019-A,2022-02-28,3,3,27566.75,35924.5,0.0
Volkswagen Auto Lease Trust 2019-A,2022-02-28,98,1,13870.0,0.0,0.0
Volkswagen Auto Lease Trust 2020-A,2021-01-29,1,22,337538.27499999997,627446.8200000001,0.0
Volkswagen Auto Lease Trust 2020-A,2021-01-29,2,704,12820451.580000002,23760169.44,535.9300000000001
Volkswagen Auto Lease Trust 2020-A,2021-01-29,3,3,39742.15,59454.97,0.0
Volkswagen Auto Lease Trust 2020-A,2021-01-29,98,15,179128.92,325983.73,0.0
Volkswagen Auto Lease Trust 2020-A,2022-01-31,1,524,9172550.415000001,13736670.899999999,388.0
Volkswagen Auto Lease Trust 2020-A,2022-01-31,2,5774,101426801.33500001,163778462.10999998,20100.55
Volkswagen Auto Lease Trust 2020-A,2022-01-31,3,45,695097.5799999998,1138457.65,0.0
Volkswagen Auto Lease Trust 2020-A,2022-01-31,98,40,604257.165,531424.61,0.0
Volkswagen Auto Lease Trust 2020-A,2023-01-31,1,3802,72004040.21000001,87963288.45,7900.0
Volkswagen Auto Lease Trust 2020-A,2023-01-31,2,14305,268626520.525,341524161.18,232966.41999999998
Volkswagen Auto Lease Trust 2020-A,2023-01-31,3,38,527588.04,626058.46,0.0
Volkswagen Auto Lease Trust 2020-A,2023-01-31,98,46,657171.3150000001,186509.41,0.0
Volkswagen Auto Lease Trust 2020-A,2023-02-28,1,465,7899533.92,9389908.18,0.0
Volkswagen Auto Lease Trust 2020-A,2023-02-28,2,1274,22792815.885,27596883.14,23093.379999999997
Volkswagen Auto Lease Trust 2020-A,2023-02-28,3,2,22184.6,0.0,0.0
Volkswagen Auto Lease Trust 2020-A,2023-02-28,98,6,106413.74500000001,250.0,0.0
Volkswagen Auto Lease Trust 2022-A,2023-01-31,1,180,3519087.905,5720916.6899999995,0.0
Volkswagen Auto Lease Trust 2022-A,2023-01-31,2,2884,55025076.144999996,92745992.07000001,463.0
Volkswagen Auto Lease Trust 2022-A,2023-01-31,3,32,445523.005,644412.34,0.0
Volkswagen Auto Lease Trust 2022-A,2023-01-31,98,28,494687.565,390270.99,0.0
