series,reporting_date,cum_returned,crr_basic,crr_with_fees,gl_pct_pool,gl_pct_resid,avg_gl_per_vehicle,vintage_month,period_realized,period_scheduled
GM Financial Automobile Leasing Trust 2017-1,2017-01-31,0,,,,,,0,0.0,0.0
GM Financial Automobile Leasing Trust 2017-1,2017-02-28,25,1.0648691403134682,1.0648691403134682,1.749590945599781e-05,0.06486914031346822,1245.291200000001,1,511056.63,479924.35
GM Financial Automobile Leasing Trust 2017-1,2017-03-31,119,1.0453628695425574,1.0453628695425574,5.201082694078163e-05,0.045362869542557485,777.7163025210103,2,1621667.6600000001,1560251.6999999997
GM Financial Automobile Leasing Trust 2017-1,2017-04-30,268,1.031872400391212,1.0322770388076985,8.251283190831953e-05,0.03187240039121212,547.8492910447774,3,2620705.92,2566430.55
GM Financial Automobile Leasing Trust 2017-1,2017-05-31,468,1.0383733857675166,1.0390443269070135,0.00017649235568989522,0.038373385767516636,671.0493376068373,4,3744706.8999999994,3577479.42
GM Financial Automobile Leasing Trust 2017-1,2017-06-30,712,1.0416697386271432,1.042472570436622,0.00028669468803523647,0.04166973862714328,716.4964747191015,5,4254597.530000001,4058503.130000001
GM Financial Automobile Leasing Trust 2017-1,2017-07-31,956,1.0425832776691073,1.0437369618533028,0.00039071385793812034,0.04258327766910739,727.2359309623458,6,4269042.060000002,4083950.0
GM Financial Automobile Leasing Trust 2017-1,2017-08-31,1291,1.0432739025740967,1.0447457697108187,0.0005319250392990478,0.04327390257409658,733.1597211464004,7,5797250.199999999,5545978.549999999
GM Financial Automobile Leasing Trust 2017-1,2017-09-30,1635,1.0458888625069793,1.0473797911090466,0.0007124149709047866,0.0458888625069793,775.3355290519877,8,6073510.7799999975,5752346.390000001
GM Financial Automobile Leasing Trust 2017-1,2017-10-31,1972,1.045918627132754,1.0475954082472665,0.0008615979929128638,0.045918627132754165,777.4494726166325,9,6028576.07,5763119.300000001
GM Financial Automobile Leasing Trust 2017-1,2017-11-30,2350,1.0446461229591382,1.046200848843227,0.0009965157782525606,0.04464612295913816,754.5546893617035,10,6568943.160000004,6328870.0
GM Financial Automobile Leasing Trust 2017-1,2017-12-31,2749,1.0402123106948586,1.0416931831776035,0.001051916702205413,0.0402123106948587,680.8963659512575,11,6929266.439999998,6830685.849999994
GM Financial Automobile Leasing Trust 2017-1,2018-01-31,3212,1.0406917126070947,1.042375629719296,0.0012424194619544845,0.040691712607094664,688.283113325031,12,8121063.8999999985,7782082.650000006
GM Financial Automobile Leasing Trust 2017-1,2018-02-28,3798,1.0401901314306743,1.0418939145251107,0.0014493370328275503,0.04019013143067432,679.0297998946813,13,10207434.469999999,9839244.649999999
GM Financial Automobile Leasing Trust 2017-1,2018-03-31,4753,1.0457974678478321,1.0474641735290904,0.002057870419273021,0.045797467847832035,770.4147969703348,14,16869942.14,15787115.79
GM Financial Automobile Leasing Trust 2017-1,2018-04-30,5533,1.0513422763953695,1.0530237764838124,0.002692751755353037,0.051342276395369445,865.9843683354428,15,14498212.780000001,13368502.799999997
GM Financial Automobile Leasing Trust 2017-1,2018-05-31,6666,1.0582630519741942,1.0598936859796182,0.003705735171425508,0.058263051974194256,989.1985598559869,16,21654337.28,19851831.189999998
GM Financial Automobile Leasing Trust 2017-1,2018-06-30,7793,1.0640197012776371,1.0656232300254476,0.004770218698306289,0.06401970127763713,1089.2009701013726,17,21304251.709999993,19410106.150000006
GM Financial Automobile Leasing Trust 2017-1,2018-07-31,8863,1.0720421193124907,1.0736422354304438,0.006091896833981251,0.07204211931249063,1223.0555872729342,18,20232099.860000014,17880301.349999994
GM Financial Automobile Leasing Trust 2017-1,2018-08-31,9796,1.0823406122824792,1.084011900050289,0.007675856452075806,0.08234061228247921,1394.287947121276,19,18229155.560000002,15410652.5
GM Financial Automobile Leasing Trust 2017-1,2018-09-30,10493,1.0895743871019672,1.091451852753255,0.008909460728901926,0.08957438710196722,1510.8667035166295,20,13304951.889999986,11109872.300000012
GM Financial Automobile Leasing Trust 2017-1,2018-10-31,11406,1.0968877094948946,1.099033394445256,0.010447227239779467,0.0968877094948945,1629.829143433279,21,17618917.78999999,14882610.900000006
