series,reporting_date,n_returned,n_retained,n_chargeoff,n_other,scheduled_returned,realized_returned,excess_fees_returned,cum_n_returned,cum_n_retained,cum_n_chargeoff,cum_n_other,cum_scheduled_returned,cum_realized_returned,cum_excess_fees_returned,initial_pool_balance
World Omni Automobile Lease Securitization Trust 2017-A,2017-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1007953760.0199995
World Omni Automobile Lease Securitization Trust 2017-A,2017-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1007953760.0199995
World Omni Automobile Lease Securitization Trust 2017-A,2017-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1007953760.0199995
World Omni Automobile Lease Securitization Trust 2017-A,2017-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1007953760.0199995
World Omni Automobile Lease Securitization Trust 2017-A,2017-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1007953760.0199995
World Omni Automobile Lease Securitization Trust 2017-A,2017-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1007953760.0199995
World Omni Automobile Lease Securitization Trust 2017-A,2017-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1007953760.0199995
World Omni Automobile Lease Securitization Trust 2017-A,2017-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1007953760.0199995
World Omni Automobile Lease Securitization Trust 2017-A,2017-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1007953760.0199995
World Omni Automobile Lease Securitization Trust 2017-A,2017-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1007953760.0199995
World Omni Automobile Lease Securitization Trust 2017-A,2017-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1007953760.0199995
World Omni Automobile Lease Securitization Trust 2017-A,2017-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1007953760.0199995
World Omni Automobile Lease Securitization Trust 2017-A,2018-01-31,180.0,1506.0,452.0,232.0,2782487.79,3272012.14,25228.940000000002,180.0,1506.0,452.0,232.0,2782487.79,3272012.14,25228.940000000002,1007953760.0199995
World Omni Automobile Lease Securitization Trust 2017-A,2018-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,1506.0,452.0,232.0,2782487.79,3272012.14,25228.940000000002,1007953760.0199995
World Omni Automobile Lease Securitization Trust 2017-A,2018-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,1506.0,452.0,232.0,2782487.79,3272012.14,25228.940000000002,1007953760.0199995
World Omni Automobile Lease Securitization Trust 2017-A,2018-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,1506.0,452.0,232.0,2782487.79,3272012.14,25228.940000000002,1007953760.0199995
World Omni Automobile Lease Securitization Trust 2017-A,2018-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,1506.0,452.0,232.0,2782487.79,3272012.14,25228.940000000002,1007953760.0199995
World Omni Automobile Lease Securitization Trust 2017-A,2018-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,1506.0,452.0,232.0,2782487.79,3272012.14,25228.940000000002,1007953760.0199995
World Omni Automobile Lease Securitization Trust 2017-A,2018-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,1506.0,452.0,232.0,2782487.79,3272012.14,25228.940000000002,1007953760.0199995
World Omni Automobile Lease Securitization Trust 2017-A,2018-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,1506.0,452.0,232.0,2782487.79,3272012.14,25228.940000000002,1007953760.0199995
World Omni Automobile Lease Securitization Trust 2017-A,2018-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,1506.0,452.0,232.0,2782487.79,3272012.14,25228.940000000002,1007953760.0199995
World Omni Automobile Lease Securitization Trust 2017-A,2018-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,1506.0,452.0,232.0,2782487.79,3272012.14,25228.940000000002,1007953760.0199995
World Omni Automobile Lease Securitization Trust 2017-A,2018-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,1506.0,452.0,232.0,2782487.79,3272012.14,25228.940000000002,1007953760.0199995
World Omni Automobile Lease Securitization Trust 2017-A,2018-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,1506.0,452.0,232.0,2782487.79,3272012.14,25228.940000000002,1007953760.0199995
World Omni Automobile Lease Securitization Trust 2017-A,2019-01-31,1585.0,2198.0,503.0,241.0,21667051.98,23344773.21,212386.11000000002,1765.0,3704.0,955.0,473.0,24449539.77,26616785.35,237615.05000000002,1007953760.0199995
World Omni Automobile Lease Securitization Trust 2017-A,2019-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1765.0,3704.0,955.0,473.0,24449539.77,26616785.35,237615.05000000002,1007953760.0199995
World Omni Automobile Lease Securitization Trust 2017-A,2019-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1765.0,3704.0,955.0,473.0,24449539.77,26616785.35,237615.05000000002,1007953760.0199995
World Omni Automobile Lease Securitization Trust 2017-A,2019-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1765.0,3704.0,955.0,473.0,24449539.77,26616785.35,237615.05000000002,1007953760.0199995
World Omni Automobile Lease Securitization Trust 2017-A,2019-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1765.0,3704.0,955.0,473.0,24449539.77,26616785.35,237615.05000000002,1007953760.0199995
World Omni Automobile Lease Securitization Trust 2017-A,2019-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1765.0,3704.0,955.0,473.0,24449539.77,26616785.35,237615.05000000002,1007953760.0199995
