issuer_code,reporting_date,active_count,count_current,count_30_59,count_60_plus,balance_total,sec_value_total,base_residual_total,vehicle_value_total,alg_count,blackbook_count,other_source_count
BMWLT,2017-01-01,32963,32963,0,0,1166613112.2295938,1166613112.2295938,889436315.9099858,1878682928.05,32963,0,0
BMWLT,2017-03-01,32809,32771,35,3,1135683064.8115048,1135683064.8115048,884893429.5999897,1869046785.05,32809,0,0
BMWLT,2017-04-01,32702,32653,43,6,1119813180.4997008,1119813180.4997008,881908765.8900024,1862826360.05,32702,0,0
BMWLT,2017-05-01,32547,32479,53,15,1102178579.1952033,1102178579.1952033,877580650.0099832,1853700954.05,32547,0,0
BMWLT,2017-06-01,32349,32269,57,23,1083785040.4029984,1083785040.4029984,872186828.800013,1842352821.05,32349,0,0
BMWLT,2017-07-01,32113,32005,83,25,1064360732.0218922,1064360732.0218922,865817075.9099753,1828849413.05,32113,0,0
BMWLT,2017-08-01,74468,74302,129,37,2564571127.1587987,2564571127.1587987,2012672824.9499884,4274230720.05,74468,0,0
BMWLT,2017-09-01,31284,31172,78,34,1016696202.1878064,1016696202.1878064,843200453.7999828,1781363520.05,31284,0,0
BMWLT,2017-10-01,63720,63540,138,42,2139640111.8571985,2139640111.8571985,1719665245.0799942,3651357711.05,63720,0,0
BMWLT,2017-11-01,63126,62938,131,57,2096780390.1540956,2096780390.1540956,1702805528.0900187,3616327915.05,63126,0,0
BMWLT,2017-12-01,62395,62162,161,72,2050763472.1789098,2050763472.1789098,1682320194.1999843,3574020078.05,62395,0,0
BMWLT,2018-01-01,61693,61409,188,96,2005482404.1486044,2005482404.1486044,1662426780.839992,3532773303.05,61693,0,0
BMWLT,2018-02-01,61072,60807,160,105,1963352243.1117077,1963352243.1117077,1644909162.059993,3496512243.05,61072,0,0
BMWLT,2018-03-01,60166,59894,173,99,1913756899.4981942,1913756899.4981942,1619494605.1600187,3444148456.05,60166,0,0
BMWLT,2018-04-01,59176,58910,172,94,1862165647.4677072,1862165647.4677072,1591643651.2999625,3387105477.05,59176,0,0
BMWLT,2018-05-01,57889,57628,173,88,1804178604.6824036,1804178604.6824036,1556028420.6500072,3314374587.05,57889,0,0
BMWLT,2018-06-01,56581,56310,167,104,1747109217.0645056,1747109217.0645056,1520251877.1700006,3240703382.05,56581,0,0
BMWLT,2018-07-01,55140,54856,192,92,1687101190.6770968,1687101190.6770968,1481100183.1100078,3159696418.05,55140,0,0
BMWLT,2018-08-01,87212,86948,161,103,2788083065.506602,2788083065.506602,2319024219.540018,5038404186.28,87212,0,0
BMWLT,2018-09-01,52241,51943,197,101,1570892189.7180014,1570892189.7180014,1404179288.3600106,2999481267.05,52241,0,0
BMWLT,2018-10-01,84341,83982,248,111,2645078357.651801,2645078357.651801,2243086856.7200184,4879017285.28,84341,0,0
BMWLT,2018-11-01,82832,82442,270,120,2571157450.7573113,2571157450.7573113,2202048135.170025,4793924790.28,82832,0,0
BMWLT,2018-12-01,80965,80535,299,131,2488392824.847401,2488392824.847401,2150769102.5300183,4688195870.28,80965,0,0
BMWLT,2019-01-01,113810,113408,255,147,3561465624.395692,3561465624.395692,2979776108.3600197,6591689851.6,113810,0,0
BMWLT,2019-02-01,76838,76455,257,126,2312977845.971794,2312977845.971794,2035365227.4300327,4449973439.28,76838,0,0
BMWLT,2019-03-01,108993,108541,325,127,3340425422.089898,3340425422.089898,2844629023.460031,6313002168.6,108993,0,0
BMWLT,2019-04-01,105816,105411,259,146,3210356267.754801,3210356267.754801,2755181244.460029,6127567618.6,105816,0,0
BMWLT,2019-05-01,102559,102109,299,151,3080265099.808205,3080265099.808205,2664843190.500018,5937615828.6,102559,0,0
BMWLT,2019-06-01,99357,98879,316,162,2955166427.5943995,2955166427.5943995,2576634725.1100144,5749554058.6,99357,0,0
BMWLT,2019-07-01,95329,94845,322,162,2810754653.4193034,2810754653.4193034,2467875194.670032,5514935271.6,95329,0,0
BMWLT,2019-08-01,90713,90203,346,164,2653960126.9301033,2653960126.9301033,2343418698.2400193,5245646068.6,90713,0,0
BMWLT,2019-09-01,79593,79165,295,133,2339725506.1502967,2339725506.1502967,2052709429.800013,4612163381.55,79593,0,0
BMWLT,2019-10-01,76616,76184,279,153,2232720366.898395,2232720366.898395,1975155923.9500365,4443544999.55,76616,0,0
BMWLT,2019-11-01,73779,73347,275,157,2130797056.0583103,2130797056.0583103,1901734321.5000086,4284755595.55,73779,0,0
BMWLT,2019-12-01,69726,69269,293,164,1999638337.936501,1999638337.936501,1796167149.4600005,4054648252.55,69726,0,0
BMWLT,2020-01-01,65623,65221,240,162,1867806056.612496,1867806056.612496,1689076988.5100179,3820328450.55,65623,0,0
BMWLT,2020-02-01,62136,61792,216,128,1753284207.7306037,1753284207.7306037,1597389381.1700253,3619137180.55,62136,0,0
BMWLT,2020-03-01,59114,58736,247,131,1650203752.4432015,1650203752.4432015,1516617440.7200084,3442365083.1499996,59114,0,0
BMWLT,2020-04-01,50659,50371,175,113,1406329231.5906138,1406329231.5906138,1288005651.5200033,2945758561.1499996,50659,0,0
BMWLT,2020-05-01,48837,48576,174,87,1340736839.8966017,1340736839.8966017,1239507315.300002,2839291826.1499996,48837,0,0
BMWLT,2020-06-01,45806,45494,227,85,1244436938.9418063,1244436938.9418063,1158436822.3000143,2660439016.2,45806,0,0
BMWLT,2020-07-01,42800,42469,217,114,1151077964.8241014,1151077964.8241014,1080192609.2300014,2484832416.2,42800,0,0
BMWLT,2020-08-01,39994,39670,189,135,1066129947.4166989,1066129947.4166989,1008743768.2700043,2323407546.17,39994,0,0
BMWLT,2020-09-01,36984,36688,174,122,975449470.4236019,975449470.4236019,930369509.2100015,2145487771.6,36984,0,0
BMWLT,2020-10-01,33887,33577,169,141,884731503.1483984,884731503.1483984,850400566.7300104,1963308508.6,33887,0,0
BMWLT,2020-11-01,30910,30661,137,112,800189661.759799,800189661.759799,775023367.7099917,1790961158.6,30910,0,0
BMWLT,2020-12-01,27178,26969,110,99,696967777.9440002,696967777.9440002,678459742.2999967,1571416524.6,27178,0,0
BMWLT,2021-01-01,61942,61793,78,71,2065426304.905404,2065426304.905404,1634064106.790001,3740327589.2599998,61942,0,0
BMWLT,2021-02-01,13593,13532,33,28,338710320.70789975,338710320.70789975,329089972.3699971,772917212.6,13593,0,0
BMWLT,2021-03-01,49405,49318,60,27,1696778290.4722016,1696778290.4722016,1312088043.8000126,3003824929.2599998,49405,0,0
BMWLT,2021-04-01,47640,47556,58,26,1628397135.6217012,1628397135.6217012,1266927598.8400118,2900581312.2599998,47640,0,0
BMWLT,2021-05-01,46020,45936,59,25,1563756511.3157935,1563756511.3157935,1225037134.190011,2804793462.2599998,46020,0,0
BMWLT,2021-06-01,36562,36535,23,4,1315599599.7496011,1315599599.7496011,999656892.6000104,2270247822.66,36562,0,0
BMWLT,2021-07-01,79380,79347,27,6,3120258774.864895,3120258774.864895,2217862493.20002,4978836313.540001,79380,0,0
BMWLT,2021-08-01,35138,35095,36,7,1238106490.650004,1238106490.650004,961834792.539994,2183708399.71,35138,0,0
BMWLT,2021-09-01,70038,69952,72,14,2595119767.3869076,2595119767.3869076,1954624776.360013,4390522700.59,70038,0,0
BMWLT,2021-10-01,68837,68716,97,24,2522616614.8708105,2522616614.8708105,1922541687.8499713,4316638546.59,68837,0,0
BMWLT,2021-11-01,103409,103288,88,33,3906616270.830596,3906616270.830596,2916483341.76001,6503306551.59,103409,0,0
BMWLT,2021-12-01,65937,65805,98,34,2364959465.711393,2364959465.711393,1844325426.4199953,4136186770.0300007,65937,0,0
BMWLT,2022-01-01,99674,99482,137,55,3682279373.935704,3682279373.935704,2812168581.8599844,6266959281.030001,99674,0,0
BMWLT,2022-02-01,97810,97608,141,61,3571846679.3703036,3571846679.3703036,2758585437.280011,6147409498.08,97810,0,0
BMWLT,2022-03-01,95025,94811,141,73,3436470244.7219057,3436470244.7219057,2680315023.1200013,5971465498.08,95025,0,0
BMWLT,2022-04-01,92421,92219,131,71,3309152576.022606,3309152576.022606,2606343283.8600006,5805212018.13,92421,0,0
BMWLT,2022-05-01,89163,88958,137,68,3165129209.747595,3165129209.747595,2513858249.820011,5598504251.13,89163,0,0
BMWLT,2022-06-01,85510,85260,171,79,3013762039.7739964,3013762039.7739964,2412529439.9299984,5372519821.13,85510,0,0
BMWLT,2022-07-01,82178,81908,180,90,2875367054.104073,2875367054.104073,2321406765.8799915,5167627488.13,82178,0,0
BMWLT,2022-08-01,78683,78416,171,96,2732792166.4474916,2732792166.4474916,2225800896.899991,4951453173.36,78683,0,0
BMWLT,2022-09-01,75375,75110,170,95,2598894936.5367093,2598894936.5367093,2135844960.0699792,4746825065.0,75375,0,0
BMWLT,2022-10-01,72399,72111,192,96,2475615634.137097,2475615634.137097,2054037254.6499982,4559186296.0,72399,0,0
BMWLT,2022-11-01,69562,69268,191,103,2358609892.4978137,2358609892.4978137,1976557113.7799802,4381497742.0,69562,0,0
BMWLT,2022-12-01,93363,93022,211,130,3384800858.7452908,3384800858.7452908,2726511714.2300124,5958701858.0,93363,0,0
BMWLT,2023-01-01,63343,62998,186,159,2114954032.530704,2114954032.530704,1807118077.5199904,3992792537.0,63343,0,0
BMWLT,2023-02-01,86875,86482,242,151,3107679121.9004974,3107679121.9004974,2548233022.1499996,5549423023.0,86875,0,0
BMWLT,2023-03-01,83106,82731,234,141,2953083843.4049973,2953083843.4049973,2443143024.360014,5309630041.0,83106,0,0
BMWLT,2023-04-01,79849,79450,252,147,2815182304.4624977,2815182304.4624977,2351962698.3900166,5102786530.0,79849,0,0
BMWLT,2023-05-01,75825,75418,256,151,2657940520.7902055,2657940520.7902055,2239807395.4900136,4850271862.0,75825,0,0
BMWLT,2023-06-01,71715,71352,210,153,2499681706.1913924,2499681706.1913924,2124499308.9500272,4592409567.0,71715,0,0
BMWLT,2023-07-01,60616,60277,201,138,2140116913.1402013,2140116913.1402013,1808296775.880003,3887512942.0,60616,0,0
BMWLT,2023-08-01,89751,89425,202,124,3622844973.0547967,3622844973.0547967,2768113992.6700177,5917736180.0,89751,0,0
BMWLT,2023-09-01,54913,54577,203,133,1907775473.1748095,1907775473.1748095,1642997142.860022,3521730837.0,54913,0,0
BMWLT,2023-10-01,83442,83001,279,162,3169088507.561596,3169088507.561596,2582339368.410019,5510471619.0,83442,0,0
BMWLT,2023-11-01,79976,79535,260,181,3018543209.711495,3018543209.711495,2479680624.6500006,5287158704.0,79976,0,0
BMWLT,2023-12-01,104573,104082,292,199,4518018850.081998,4518018850.081998,3377940594.5099874,7101550575.21,104573,0,0
