issuer_code,reporting_date,active_count,count_current,count_30_59,count_60_plus,balance_total,sec_value_total,base_residual_total,vehicle_value_total,alg_count,blackbook_count,other_source_count
BMWLT,2017-01-01,32963,32963,0,0,1166613112.2295938,1166613112.2295938,889436315.9099858,1878682928.05,32963,0,0
BMWLT,2017-03-01,32809,32771,35,3,1135683064.8114986,1135683064.8114986,884893429.599997,1869046785.05,32809,0,0
BMWLT,2017-04-01,32702,32653,43,6,1119813180.499703,1119813180.499703,881908765.8899888,1862826360.05,32702,0,0
BMWLT,2017-05-01,32547,32479,53,15,1102178579.1952052,1102178579.1952052,877580650.0100081,1853700954.05,32547,0,0
BMWLT,2017-06-01,32349,32269,57,23,1083785040.4029996,1083785040.4029996,872186828.799985,1842352821.05,32349,0,0
BMWLT,2017-07-01,32113,32005,83,25,1064360732.0218922,1064360732.0218922,865817075.9099753,1828849413.05,32113,0,0
BMWLT,2017-08-01,74468,74302,129,37,2564571127.1587987,2564571127.1587987,2012672824.9499884,4274230720.05,74468,0,0
BMWLT,2017-09-01,31284,31172,78,34,1016696202.1878064,1016696202.1878064,843200453.7999828,1781363520.05,31284,0,0
BMWLT,2017-10-01,63720,63540,138,42,2139640111.8571985,2139640111.8571985,1719665245.0799942,3651357711.05,63720,0,0
BMWLT,2017-11-01,63126,62938,131,57,2096780390.1540895,2096780390.1540895,1702805528.0900145,3616327915.05,63126,0,0
BMWLT,2017-12-01,62395,62162,161,72,2050763472.1789098,2050763472.1789098,1682320194.1999843,3574020078.05,62395,0,0
BMWLT,2018-01-01,61693,61409,188,96,2005482404.1486015,2005482404.1486015,1662426780.84002,3532773303.05,61693,0,0
BMWLT,2018-02-01,61072,60807,160,105,1963352243.1117077,1963352243.1117077,1644909162.059993,3496512243.05,61072,0,0
BMWLT,2018-03-01,60166,59894,173,99,1913756899.4981942,1913756899.4981942,1619494605.1600187,3444148456.05,60166,0,0
BMWLT,2018-04-01,59176,58910,172,94,1862165647.4677072,1862165647.4677072,1591643651.2999625,3387105477.05,59176,0,0
BMWLT,2018-05-01,57889,57628,173,88,1804178604.6824036,1804178604.6824036,1556028420.6500072,3314374587.05,57889,0,0
BMWLT,2018-06-01,56581,56310,167,104,1747109217.0645049,1747109217.0645049,1520251877.1700075,3240703382.05,56581,0,0
BMWLT,2018-07-01,55140,54856,192,92,1687101190.6770968,1687101190.6770968,1481100183.110007,3159696418.05,55140,0,0
BMWLT,2018-08-01,87212,86948,161,103,2788083065.5065975,2788083065.5065975,2319024219.5400324,5038404186.28,87212,0,0
BMWLT,2018-09-01,52241,51943,197,101,1570892189.717999,1570892189.717999,1404179288.3600075,2999481267.05,52241,0,0
BMWLT,2018-10-01,84341,83982,248,111,2645078357.651803,2645078357.651803,2243086856.7200212,4879017285.28,84341,0,0
BMWLT,2018-11-01,82832,82442,270,120,2571157450.7573113,2571157450.7573113,2202048135.170025,4793924790.28,82832,0,0
BMWLT,2018-12-01,80965,80535,299,131,2488392824.8473983,2488392824.8473983,2150769102.530017,4688195870.28,80965,0,0
BMWLT,2019-01-01,113810,113408,255,147,3561465624.395692,3561465624.395692,2979776108.3600197,6591689851.6,113810,0,0
BMWLT,2019-02-01,76838,76455,257,126,2312977845.971795,2312977845.971795,2035365227.4300365,4449973439.28,76838,0,0
BMWLT,2019-03-01,108993,108541,325,127,3340425422.089898,3340425422.089898,2844629023.460031,6313002168.6,108993,0,0
BMWLT,2019-04-01,105816,105411,259,146,3210356267.7548037,3210356267.7548037,2755181244.4600286,6127567618.6,105816,0,0
BMWLT,2019-05-01,102559,102109,299,151,3080265099.808203,3080265099.808203,2664843190.5000362,5937615828.6,102559,0,0
BMWLT,2019-06-01,99357,98879,316,162,2955166427.5943995,2955166427.5943995,2576634725.1100144,5749554058.6,99357,0,0
BMWLT,2019-07-01,95329,94845,322,162,2810754653.4193034,2810754653.4193034,2467875194.670032,5514935271.6,95329,0,0
BMWLT,2019-08-01,90713,90203,346,164,2653960126.9301004,2653960126.9301004,2343418698.240019,5245646068.6,90713,0,0
BMWLT,2019-09-01,79593,79165,295,133,2339725506.150299,2339725506.150299,2052709429.8000174,4612163381.55,79593,0,0
BMWLT,2019-10-01,76616,76184,279,153,2232720366.898395,2232720366.898395,1975155923.9500365,4443544999.55,76616,0,0
BMWLT,2019-11-01,73779,73347,275,157,2130797056.0583098,2130797056.0583098,1901734321.5000153,4284755595.55,73779,0,0
BMWLT,2019-12-01,69726,69269,293,164,1999638337.9365084,1999638337.9365084,1796167149.460005,4054648252.55,69726,0,0
BMWLT,2020-01-01,65623,65221,240,162,1867806056.612496,1867806056.612496,1689076988.5100179,3820328450.55,65623,0,0
BMWLT,2020-02-01,62136,61792,216,128,1753284207.7306013,1753284207.7306013,1597389381.1700234,3619137180.55,62136,0,0
BMWLT,2020-03-01,59114,58736,247,131,1650203752.4432023,1650203752.4432023,1516617440.7200058,3442365083.1499996,59114,0,0
BMWLT,2020-04-01,50659,50371,175,113,1406329231.5906138,1406329231.5906138,1288005651.5200033,2945758561.1499996,50659,0,0
BMWLT,2020-05-01,48837,48576,174,87,1340736839.8966017,1340736839.8966017,1239507315.300002,2839291826.1499996,48837,0,0
BMWLT,2020-06-01,45806,45494,227,85,1244436938.9418063,1244436938.9418063,1158436822.3000143,2660439016.2,45806,0,0
BMWLT,2020-07-01,42800,42469,217,114,1151077964.8241005,1151077964.8241005,1080192609.2300024,2484832416.2,42800,0,0
BMWLT,2020-08-01,39994,39670,189,135,1066129947.4166989,1066129947.4166989,1008743768.2700043,2323407546.17,39994,0,0
BMWLT,2020-09-01,36984,36688,174,122,975449470.4236019,975449470.4236019,930369509.2100015,2145487771.6,36984,0,0
BMWLT,2020-10-01,33887,33577,169,141,884731503.1483984,884731503.1483984,850400566.7300104,1963308508.6,33887,0,0
BMWLT,2020-11-01,30910,30661,137,112,800189661.7598009,800189661.7598009,775023367.709996,1790961158.6,30910,0,0
BMWLT,2020-12-01,27178,26969,110,99,696967777.9439998,696967777.9439998,678459742.2999979,1571416524.6,27178,0,0
BMWLT,2021-01-01,61942,61793,78,71,2065426304.905404,2065426304.905404,1634064106.790001,3740327589.2599998,61942,0,0
BMWLT,2021-02-01,13593,13532,33,28,338710320.70789975,338710320.70789975,329089972.3699971,772917212.6,13593,0,0
BMWLT,2021-03-01,49405,49318,60,27,1696778290.4722016,1696778290.4722016,1312088043.8000126,3003824929.2599998,49405,0,0
BMWLT,2021-04-01,47640,47556,58,26,1628397135.621698,1628397135.621698,1266927598.8399978,2900581312.2599998,47640,0,0
BMWLT,2021-05-01,46020,45936,59,25,1563756511.3157933,1563756511.3157933,1225037134.190011,2804793462.2599998,46020,0,0
BMWLT,2021-06-01,36562,36535,23,4,1315599599.749602,1315599599.749602,999656892.600007,2270247822.66,36562,0,0
BMWLT,2021-07-01,79380,79347,27,6,3120258774.864895,3120258774.864895,2217862493.20002,4978836313.540001,79380,0,0
BMWLT,2021-08-01,35138,35095,36,7,1238106490.6500063,1238106490.6500063,961834792.540012,2183708399.71,35138,0,0
