series,reporting_date,vintage_month,cum_co_amount,cnl_rate,original_balance
Volkswagen Auto Lease Trust 2019-A,2019-10-31,0,221277.29,0.0001463139891962383,1512345410.1386023
Volkswagen Auto Lease Trust 2019-A,2019-11-29,1,375098.77,0.000248024536911593,1512345410.1386023
Volkswagen Auto Lease Trust 2019-A,2019-12-31,2,712848.9400000001,0.0004713532604530267,1512345410.1386023
Volkswagen Auto Lease Trust 2019-A,2020-01-31,3,1405950.86,0.0009296493053601747,1512345410.1386023
Volkswagen Auto Lease Trust 2019-A,2020-02-28,4,2366517.58,0.0015647996576278929,1512345410.1386023
Volkswagen Auto Lease Trust 2019-A,2020-03-31,5,3199607.27,0.0021156590607874196,1512345410.1386023
Volkswagen Auto Lease Trust 2019-A,2020-04-30,6,3880496.2600000002,0.002565879615850696,1512345410.1386023
Volkswagen Auto Lease Trust 2019-A,2020-05-29,7,4533796.0600000005,0.0029978575195890537,1512345410.1386023
Volkswagen Auto Lease Trust 2019-A,2020-06-30,8,5135468.5600000005,0.0033956981821562505,1512345410.1386023
Volkswagen Auto Lease Trust 2019-A,2020-07-31,9,6114877.600000001,0.004043307540067575,1512345410.1386023
Volkswagen Auto Lease Trust 2019-A,2020-08-31,10,6508236.04,0.004303405820105301,1512345410.1386023
Volkswagen Auto Lease Trust 2019-A,2020-09-30,11,7177822.37,0.004746152778248041,1512345410.1386023
Volkswagen Auto Lease Trust 2019-A,2020-10-30,12,7605740.010000001,0.0050291024517361786,1512345410.1386023
Volkswagen Auto Lease Trust 2019-A,2020-11-30,13,8259998.390000001,0.005461714192158651,1512345410.1386023
Volkswagen Auto Lease Trust 2019-A,2020-12-31,14,8956887.73,0.005922514572368177,1512345410.1386023
Volkswagen Auto Lease Trust 2019-A,2021-01-29,15,9563812.32,0.006323828046083404,1512345410.1386023
Volkswagen Auto Lease Trust 2019-A,2021-02-26,16,9883015.700000001,0.006534893175689441,1512345410.1386023
Volkswagen Auto Lease Trust 2019-A,2021-03-31,17,10804920.700000001,0.007144479447330594,1512345410.1386023
Volkswagen Auto Lease Trust 2019-A,2021-04-30,18,11350440.9,0.0075051908273783595,1512345410.1386023
Volkswagen Auto Lease Trust 2019-A,2021-05-31,19,11605561.48,0.0076738828327163585,1512345410.1386023
Volkswagen Auto Lease Trust 2019-A,2021-06-30,20,11826029.17,0.007819661494470484,1512345410.1386023
Volkswagen Auto Lease Trust 2019-A,2021-07-30,21,12107261.440000001,0.00800561919177604,1512345410.1386023
Volkswagen Auto Lease Trust 2019-A,2021-08-31,22,12212554.73,0.008075241706113125,1512345410.1386023
Volkswagen Auto Lease Trust 2019-A,2021-09-30,23,12441755.49,0.008226794888648982,1512345410.1386023
Volkswagen Auto Lease Trust 2019-A,2021-10-29,24,12755226.3,0.00843406950190765,1512345410.1386023
Volkswagen Auto Lease Trust 2019-A,2021-11-30,25,12808970.860000001,0.008469606727490973,1512345410.1386023
Volkswagen Auto Lease Trust 2019-A,2021-12-31,26,12939178.42,0.008555703170226279,1512345410.1386023
Volkswagen Auto Lease Trust 2019-A,2022-01-31,27,13057868.540000001,0.00863418399821988,1512345410.1386023
Volkswagen Auto Lease Trust 2019-A,2022-02-28,28,13097162.48,0.008660166118267705,1512345410.1386023
Volkswagen Auto Lease Trust 2020-A,2020-11-30,0,101071.82,7.768806025598615e-05,1300995541.2319882
Volkswagen Auto Lease Trust 2020-A,2020-12-31,1,193720.26,0.00014890155566294643,1300995541.2319882
Volkswagen Auto Lease Trust 2020-A,2021-01-29,2,449630.78,0.0003456051660055795,1300995541.2319882
Volkswagen Auto Lease Trust 2020-A,2021-02-26,3,505524.63,0.00038856753461375386,1300995541.2319882
Volkswagen Auto Lease Trust 2020-A,2021-03-31,4,771014.8,0.0005926344676553475,1300995541.2319882
Volkswagen Auto Lease Trust 2020-A,2021-04-30,5,984574.21,0.0007567852300766915,1300995541.2319882
Volkswagen Auto Lease Trust 2020-A,2021-05-31,6,1186416.79,0.000911929943185288,1300995541.2319882
Volkswagen Auto Lease Trust 2020-A,2021-06-30,7,1254100.39,0.00096395441049123,1300995541.2319882
Volkswagen Auto Lease Trust 2020-A,2021-07-30,8,1293163.19,0.000993979724769409,1300995541.2319882
Volkswagen Auto Lease Trust 2020-A,2021-08-31,9,1603819.13,0.0012327629720246776,1300995541.2319882
Volkswagen Auto Lease Trust 2020-A,2021-09-30,10,1687927.45,0.0012974121712989142,1300995541.2319882
Volkswagen Auto Lease Trust 2020-A,2021-10-29,11,1903079.11,0.0014627868041714148,1300995541.2319882
Volkswagen Auto Lease Trust 2020-A,2021-11-30,12,2060160.54,0.0015835262110499738,1300995541.2319882
Volkswagen Auto Lease Trust 2020-A,2021-12-31,13,2141350.12,0.0016459319437576484,1300995541.2319882
