series,reporting_date,vintage_month,cum_co_amount,cnl_rate,original_balance
Mercedes-Benz Auto Lease Trust 2017-A,2017-03-31,0,349485.68999999994,0.00016082047902162233,2173141705.124579
Mercedes-Benz Auto Lease Trust 2017-A,2017-04-30,1,1384419.53,0.0006370590223064334,2173141705.124579
Mercedes-Benz Auto Lease Trust 2017-A,2017-05-31,2,3318611.67,0.0015271032083063148,2173141705.124579
Mercedes-Benz Auto Lease Trust 2017-A,2017-06-30,3,5140688.67,0.0023655561245166483,2173141705.124579
Mercedes-Benz Auto Lease Trust 2017-A,2017-07-31,4,6699833.199999999,0.0030830171747202838,2173141705.124579
Mercedes-Benz Auto Lease Trust 2017-A,2017-08-31,5,8478529.97,0.003901508102304794,2173141705.124579
Mercedes-Benz Auto Lease Trust 2017-A,2017-09-30,6,10386053.72,0.004779280474673235,2173141705.124579
Mercedes-Benz Auto Lease Trust 2017-A,2017-10-31,7,12828017.99,0.005902982746016838,2173141705.124579
Mercedes-Benz Auto Lease Trust 2017-A,2017-11-30,8,15019204.27,0.0069112861966537055,2173141705.124579
Mercedes-Benz Auto Lease Trust 2017-A,2017-12-31,9,16162142.27,0.0074372242877155026,2173141705.124579
Mercedes-Benz Auto Lease Trust 2017-A,2018-01-31,10,17867373.05,0.008221908864878062,2173141705.124579
Mercedes-Benz Auto Lease Trust 2017-A,2018-02-28,11,19848954.23,0.009133759746634712,2173141705.124579
Mercedes-Benz Auto Lease Trust 2017-A,2018-03-31,12,21165993.85,0.00973981300901251,2173141705.124579
Mercedes-Benz Auto Lease Trust 2017-A,2018-04-30,13,23350162.23,0.010744887079814896,2173141705.124579
Mercedes-Benz Auto Lease Trust 2017-A,2018-05-31,14,25028009.84,0.011516970927841647,2173141705.124579
Mercedes-Benz Auto Lease Trust 2017-A,2018-06-30,15,26886608.37,0.012372229710836406,2173141705.124579
Mercedes-Benz Auto Lease Trust 2017-A,2018-07-31,16,28156131.14,0.012956417463989494,2173141705.124579
Mercedes-Benz Auto Lease Trust 2017-A,2018-08-31,17,29408131.16,0.013532541891148386,2173141705.124579
Mercedes-Benz Auto Lease Trust 2017-A,2018-09-30,18,30792663.740000002,0.014169652934912848,2173141705.124579
Mercedes-Benz Auto Lease Trust 2017-A,2018-10-31,19,32241930.26,0.014836552160390148,2173141705.124579
Mercedes-Benz Auto Lease Trust 2017-A,2018-11-30,20,33096845.59,0.015229952796889823,2173141705.124579
Mercedes-Benz Auto Lease Trust 2017-A,2018-12-31,21,34104622.69,0.01569369480580876,2173141705.124579
Mercedes-Benz Auto Lease Trust 2017-A,2019-01-31,22,35108582.96,0.01615568044974193,2173141705.124579
Mercedes-Benz Auto Lease Trust 2017-A,2019-02-28,23,36227404.33,0.01667052095340612,2173141705.124579
Mercedes-Benz Auto Lease Trust 2017-A,2019-03-31,24,36750749.95,0.016911345386882264,2173141705.124579
Mercedes-Benz Auto Lease Trust 2017-A,2019-04-30,25,37893707.39,0.01743729242351809,2173141705.124579
Mercedes-Benz Auto Lease Trust 2017-A,2019-05-31,26,38455749.38,0.017695923505271584,2173141705.124579
Mercedes-Benz Auto Lease Trust 2017-A,2019-06-30,27,39066624.54,0.017977025818369467,2173141705.124579
Mercedes-Benz Auto Lease Trust 2017-A,2019-07-31,28,39568711.27,0.01820806769144015,2173141705.124579
Mercedes-Benz Auto Lease Trust 2018-A,2017-12-31,0,204598.02,0.00010895856101367529,1877759930.8999784
Mercedes-Benz Auto Lease Trust 2018-A,2018-01-31,1,1414056.2,0.0007530548376981646,1877759930.8999784
Mercedes-Benz Auto Lease Trust 2018-A,2018-02-28,2,2591811.65,0.0013802678432688618,1877759930.8999784
Mercedes-Benz Auto Lease Trust 2018-A,2018-03-31,3,3813440.79,0.0020308457578878483,1877759930.8999784
Mercedes-Benz Auto Lease Trust 2018-A,2018-04-30,4,4524287.31,0.002409406674170316,1877759930.8999784
Mercedes-Benz Auto Lease Trust 2018-A,2018-05-31,5,5656380.66,0.0030123023539484054,1877759930.8999784
Mercedes-Benz Auto Lease Trust 2018-A,2018-06-30,6,6802111.06,0.0036224604370697503,1877759930.8999784
Mercedes-Benz Auto Lease Trust 2018-A,2018-07-31,7,7463091.81,0.003974465365454393,1877759930.8999784
Mercedes-Benz Auto Lease Trust 2018-A,2018-08-31,8,8749786.92,0.004659694125971884,1877759930.8999784
Mercedes-Benz Auto Lease Trust 2018-A,2018-09-30,9,10130998.44,0.0053952575477230385,1877759930.8999784
Mercedes-Benz Auto Lease Trust 2018-A,2018-10-31,10,11268760.25,0.006001171962700831,1877759930.8999784
Mercedes-Benz Auto Lease Trust 2018-A,2018-11-30,11,12306364.709999999,0.006553747637005849,1877759930.8999784
Mercedes-Benz Auto Lease Trust 2018-A,2018-12-31,12,13190669.67,0.0070246837484054395,1877759930.8999784
Mercedes-Benz Auto Lease Trust 2018-A,2019-01-31,13,14700919.44,0.007828966417956367,1877759930.8999784
Mercedes-Benz Auto Lease Trust 2018-A,2019-02-28,14,15831518.83,0.0084310664901728,1877759930.8999784
Mercedes-Benz Auto Lease Trust 2018-A,2019-03-31,15,16776496.9,0.00893431403233709,1877759930.8999784
Mercedes-Benz Auto Lease Trust 2018-A,2019-04-30,16,17879603.6,0.009521772887884881,1877759930.8999784
Mercedes-Benz Auto Lease Trust 2018-A,2019-05-31,17,18281318.07,0.009735705703997037,1877759930.8999784
Mercedes-Benz Auto Lease Trust 2018-A,2019-06-30,18,19120009.37,0.010182350286298901,1877759930.8999784
Mercedes-Benz Auto Lease Trust 2018-A,2019-07-31,19,19834929.72,0.010563080718467273,1877759930.8999784
Mercedes-Benz Auto Lease Trust 2018-A,2019-08-31,20,20769311.03,0.011060684962025802,1877759930.8999784
Mercedes-Benz Auto Lease Trust 2018-A,2019-09-30,21,21625007.23,0.011516385494303045,1877759930.8999784
Mercedes-Benz Auto Lease Trust 2018-A,2019-10-31,22,22333000.69,0.011893427015079705,1877759930.8999784
Mercedes-Benz Auto Lease Trust 2018-A,2019-11-30,23,23144320.04,0.012325494680732334,1877759930.8999784
Mercedes-Benz Auto Lease Trust 2018-A,2019-12-31,24,23888841.13,0.012721988970416726,1877759930.8999784
Mercedes-Benz Auto Lease Trust 2018-A,2020-01-31,25,25134891.59,0.013385572445330257,1877759930.8999784
Mercedes-Benz Auto Lease Trust 2018-A,2020-02-29,26,25884560.37,0.013784808134442389,1877759930.8999784
Mercedes-Benz Auto Lease Trust 2018-A,2020-03-31,27,26748163.37,0.014244719428633276,1877759930.8999784
Mercedes-Benz Auto Lease Trust 2018-A,2020-04-30,28,27116674.15,0.0144409696382239,1877759930.8999784
Mercedes-Benz Auto Lease Trust 2018-A,2020-05-31,29,27456826.79,0.014622117736232879,1877759930.8999784
Mercedes-Benz Auto Lease Trust 2018-A,2020-06-30,30,27654835.52,0.014727567174545847,1877759930.8999784
Mercedes-Benz Auto Lease Trust 2018-B,2018-10-31,0,287195.7799999999,0.00019947192682213429,1439780447.1808581
Mercedes-Benz Auto Lease Trust 2018-B,2018-11-30,1,847211.7299999999,0.0005884311956443573,1439780447.1808581
Mercedes-Benz Auto Lease Trust 2018-B,2018-12-31,2,1338428.3699999999,0.000929605880272017,1439780447.1808581
Mercedes-Benz Auto Lease Trust 2018-B,2019-01-31,3,2811376.39,0.0019526424292709184,1439780447.1808581
Mercedes-Benz Auto Lease Trust 2018-B,2019-02-28,4,3905438.02,0.002712523307041006,1439780447.1808581
Mercedes-Benz Auto Lease Trust 2018-B,2019-03-31,5,4415046.51,0.003066472057350702,1439780447.1808581
Mercedes-Benz Auto Lease Trust 2018-B,2019-04-30,6,5320482.84,0.0036953431687572202,1439780447.1808581
Mercedes-Benz Auto Lease Trust 2018-B,2019-05-31,7,6462345.6899999995,0.004488424400160111,1439780447.1808581
Mercedes-Benz Auto Lease Trust 2018-B,2019-06-30,8,7753694.87,0.005385331412981759,1439780447.1808581
Mercedes-Benz Auto Lease Trust 2018-B,2019-07-31,9,8560994.48,0.005946041632085458,1439780447.1808581
Mercedes-Benz Auto Lease Trust 2018-B,2019-08-31,10,9570763.73,0.006647377208615314,1439780447.1808581
Mercedes-Benz Auto Lease Trust 2018-B,2019-09-30,11,10382250.32,0.007210995496104159,1439780447.1808581
Mercedes-Benz Auto Lease Trust 2018-B,2019-10-31,12,11536681.42,0.008012806009825481,1439780447.1808581
Mercedes-Benz Auto Lease Trust 2018-B,2019-11-30,13,12197528.14,0.008471797324295658,1439780447.1808581
Mercedes-Benz Auto Lease Trust 2018-B,2019-12-31,14,13067689.48,0.009076168179382492,1439780447.1808581
Mercedes-Benz Auto Lease Trust 2018-B,2020-01-31,15,13623497.610000001,0.009462204905390471,1439780447.1808581
Mercedes-Benz Auto Lease Trust 2018-B,2020-02-29,16,14704392.3,0.010212940680498703,1439780447.1808581
Mercedes-Benz Auto Lease Trust 2018-B,2020-03-31,17,15379471.91,0.010681817453566313,1439780447.1808581
Mercedes-Benz Auto Lease Trust 2018-B,2020-04-30,18,16064217.09,0.011157407451569658,1439780447.1808581
Mercedes-Benz Auto Lease Trust 2018-B,2020-05-31,19,16367268.110000001,0.011367891640734321,1439780447.1808581
Mercedes-Benz Auto Lease Trust 2018-B,2020-06-30,20,16915531.490000002,0.011748688158059946,1439780447.1808581
Mercedes-Benz Auto Lease Trust 2018-B,2020-07-31,21,17404300.650000002,0.012088162944619958,1439780447.1808581
Mercedes-Benz Auto Lease Trust 2018-B,2020-08-31,22,17943388.37,0.012462586504167216,1439780447.1808581
Mercedes-Benz Auto Lease Trust 2018-B,2020-09-30,23,18482784.12,0.012837224006055893,1439780447.1808581
Mercedes-Benz Auto Lease Trust 2018-B,2020-10-31,24,18671362.67,0.01296820130219104,1439780447.1808581
Mercedes-Benz Auto Lease Trust 2018-B,2020-11-30,25,19045050.91,0.013227746596566786,1439780447.1808581
Mercedes-Benz Auto Lease Trust 2018-B,2020-12-31,26,19268380.94,0.013382860544972801,1439780447.1808581
Mercedes-Benz Auto Lease Trust 2018-B,2021-01-31,27,19613579.720000003,0.013622618475201615,1439780447.1808581
Mercedes-Benz Auto Lease Trust 2018-B,2021-02-28,28,19911550.32,0.013829574056924813,1439780447.1808581
Mercedes-Benz Auto Lease Trust 2019-A,2019-01-31,0,1283884.94,0.0006562984468227105,1956251681.2519944
Mercedes-Benz Auto Lease Trust 2019-A,2019-02-28,1,2407231.5,0.0012305326165697554,1956251681.2519944
Mercedes-Benz Auto Lease Trust 2019-A,2019-03-31,2,3446057.4,0.0017615613742473744,1956251681.2519944
Mercedes-Benz Auto Lease Trust 2019-A,2019-04-30,3,4994462.57,0.0025530777138060073,1956251681.2519944
Mercedes-Benz Auto Lease Trust 2019-A,2019-05-31,4,5739724.38,0.0029340418899098893,1956251681.2519944
Mercedes-Benz Auto Lease Trust 2019-A,2019-06-30,5,6884344.13,0.003519150524432543,1956251681.2519944
Mercedes-Benz Auto Lease Trust 2019-A,2019-07-31,6,8284544.3100000005,0.0042349071898038805,1956251681.2519944
Mercedes-Benz Auto Lease Trust 2019-A,2019-08-31,7,9748511.28,0.004983260269333538,1956251681.2519944
Mercedes-Benz Auto Lease Trust 2019-A,2019-09-30,8,10677363.12,0.005458072303440283,1956251681.2519944
Mercedes-Benz Auto Lease Trust 2019-A,2019-10-31,9,11910940.93,0.00608865466757173,1956251681.2519944
Mercedes-Benz Auto Lease Trust 2019-A,2019-11-30,10,12765466.02,0.006525472229539578,1956251681.2519944
Mercedes-Benz Auto Lease Trust 2019-A,2019-12-31,11,13391159.379999999,0.006845315205776438,1956251681.2519944
Mercedes-Benz Auto Lease Trust 2019-A,2020-01-31,12,14791253.42,0.007561017614325396,1956251681.2519944
Mercedes-Benz Auto Lease Trust 2019-A,2020-02-29,13,15958604.6,0.008157746139181103,1956251681.2519944
Mercedes-Benz Auto Lease Trust 2019-A,2020-03-31,14,16963089.09,0.00867122019756869,1956251681.2519944
Mercedes-Benz Auto Lease Trust 2019-A,2020-04-30,15,17638067.23,0.009016256649917202,1956251681.2519944
Mercedes-Benz Auto Lease Trust 2019-A,2020-05-31,16,18316100.94,0.009362855053638987,1956251681.2519944
Mercedes-Benz Auto Lease Trust 2019-A,2020-06-30,17,18915171.38,0.009669088881188516,1956251681.2519944
Mercedes-Benz Auto Lease Trust 2019-A,2020-07-31,18,19571868.59,0.010004780457223209,1956251681.2519944
Mercedes-Benz Auto Lease Trust 2019-A,2020-08-31,19,20174308.08,0.010312736481375704,1956251681.2519944
Mercedes-Benz Auto Lease Trust 2019-A,2020-09-30,20,20971456.48,0.010720224131170249,1956251681.2519944
Mercedes-Benz Auto Lease Trust 2019-A,2020-10-31,21,21471951.47,0.010976067995636442,1956251681.2519944
Mercedes-Benz Auto Lease Trust 2019-A,2020-11-30,22,22329248.66,0.011414302604309767,1956251681.2519944
Mercedes-Benz Auto Lease Trust 2019-A,2020-12-31,23,22634550.28,0.011570367196062404,1956251681.2519944
Mercedes-Benz Auto Lease Trust 2019-A,2021-01-31,24,23196689.009999998,0.011857722210443901,1956251681.2519944
Mercedes-Benz Auto Lease Trust 2019-A,2021-02-28,25,23655022.79,0.012092014037202446,1956251681.2519944
Mercedes-Benz Auto Lease Trust 2019-A,2021-03-31,26,24424297.66,0.01248525324940221,1956251681.2519944
Mercedes-Benz Auto Lease Trust 2019-A,2021-04-30,27,24776424.259999998,0.012665253912596344,1956251681.2519944
Mercedes-Benz Auto Lease Trust 2019-B,2019-10-31,0,416804.9,0.00024093537489241866,1729944804.436085
Mercedes-Benz Auto Lease Trust 2019-B,2019-11-30,1,1500178.5,0.0008671828697384466,1729944804.436085
Mercedes-Benz Auto Lease Trust 2019-B,2019-12-31,2,2577857.1999999997,0.0014901384098438396,1729944804.436085
Mercedes-Benz Auto Lease Trust 2019-B,2020-01-31,3,3705892.4699999997,0.0021422027225938113,1729944804.436085
Mercedes-Benz Auto Lease Trust 2019-B,2020-02-29,4,5201961.9799999995,0.0030070103778228334,1729944804.436085
Mercedes-Benz Auto Lease Trust 2019-B,2020-03-31,5,7021610.9,0.004058864122135304,1729944804.436085
Mercedes-Benz Auto Lease Trust 2019-B,2020-04-30,6,8408252.8,0.00486041680546037,1729944804.436085
Mercedes-Benz Auto Lease Trust 2019-B,2020-05-31,7,8894124.629999999,0.0051412765350621935,1729944804.436085
Mercedes-Benz Auto Lease Trust 2019-B,2020-06-30,8,9763004.83,0.005643535449781286,1729944804.436085
Mercedes-Benz Auto Lease Trust 2019-B,2020-07-31,9,10795760.0,0.006240522802991466,1729944804.436085
Mercedes-Benz Auto Lease Trust 2019-B,2020-08-31,10,11771100.51,0.006804321432577185,1729944804.436085
Mercedes-Benz Auto Lease Trust 2019-B,2020-09-30,11,12764567.719999999,0.007378598257740889,1729944804.436085
Mercedes-Benz Auto Lease Trust 2019-B,2020-10-31,12,13668331.02,0.007901021457418986,1729944804.436085
Mercedes-Benz Auto Lease Trust 2019-B,2020-11-30,13,14660291.24,0.008474427162304093,1729944804.436085
Mercedes-Benz Auto Lease Trust 2019-B,2020-12-31,14,15654622.969999999,0.00904920372595528,1729944804.436085
Mercedes-Benz Auto Lease Trust 2019-B,2021-01-31,15,16404611.129999999,0.009482736725434114,1729944804.436085
Mercedes-Benz Auto Lease Trust 2019-B,2021-02-28,16,17628624.74,0.010190281617537763,1729944804.436085
Mercedes-Benz Auto Lease Trust 2019-B,2021-03-31,17,18227652.31,0.010536551376239843,1729944804.436085
Mercedes-Benz Auto Lease Trust 2019-B,2021-04-30,18,18747090.55,0.010836814274031733,1729944804.436085
Mercedes-Benz Auto Lease Trust 2019-B,2021-05-31,19,19319308.66,0.011167586740605617,1729944804.436085
Mercedes-Benz Auto Lease Trust 2019-B,2021-06-30,20,19722189.27,0.011400473136152398,1729944804.436085
Mercedes-Benz Auto Lease Trust 2019-B,2021-07-31,21,20285746.79,0.011726239321613848,1729944804.436085
Mercedes-Benz Auto Lease Trust 2019-B,2021-08-31,22,21081035.74,0.012185958584309771,1729944804.436085
Mercedes-Benz Auto Lease Trust 2019-B,2021-09-30,23,21349635.93,0.012341223763471113,1729944804.436085
Mercedes-Benz Auto Lease Trust 2019-B,2021-10-31,24,22516881.509999998,0.013015953718442415,1729944804.436085
Mercedes-Benz Auto Lease Trust 2019-B,2021-11-30,25,23769736.06,0.013740170206036306,1729944804.436085
Mercedes-Benz Auto Lease Trust 2019-B,2021-12-31,26,24012111.81,0.013880276265708544,1729944804.436085
Mercedes-Benz Auto Lease Trust 2019-B,2022-01-31,27,24366053.24,0.014084873215329358,1729944804.436085
Mercedes-Benz Auto Lease Trust 2019-B,2022-02-28,28,24891058.54,0.014388354169550402,1729944804.436085
Mercedes-Benz Auto Lease Trust 2019-B,2022-03-31,29,25418864.52,0.014693454065597116,1729944804.436085
Mercedes-Benz Auto Lease Trust 2020-A,2020-01-31,0,1124902.0,0.0005158605709090299,2180631867.284876
Mercedes-Benz Auto Lease Trust 2020-A,2020-02-29,1,2684494.79,0.0012310628081128102,2180631867.284876
Mercedes-Benz Auto Lease Trust 2020-A,2020-03-31,2,3993003.56,0.0018311222631868277,2180631867.284876
Mercedes-Benz Auto Lease Trust 2020-A,2020-04-30,3,4712203.18,0.0021609347504708376,2180631867.284876
Mercedes-Benz Auto Lease Trust 2020-A,2020-05-31,4,5637327.05,0.002585180531649795,2180631867.284876
Mercedes-Benz Auto Lease Trust 2020-A,2020-06-30,5,6684659.53,0.0030654690643969764,2180631867.284876
Mercedes-Benz Auto Lease Trust 2020-A,2020-07-31,6,8133187.65,0.003729738967873887,2180631867.284876
Mercedes-Benz Auto Lease Trust 2020-A,2020-08-31,7,9313893.95,0.004271190424084195,2180631867.284876
Mercedes-Benz Auto Lease Trust 2020-A,2020-09-30,8,10521483.15,0.004824969912551261,2180631867.284876
Mercedes-Benz Auto Lease Trust 2020-A,2020-10-31,9,11696889.31,0.005363990816370074,2180631867.284876
Mercedes-Benz Auto Lease Trust 2020-A,2020-11-30,10,12768767.4,0.005855535540668084,2180631867.284876
Mercedes-Benz Auto Lease Trust 2020-A,2020-12-31,11,13713257.34,0.006288662266077262,2180631867.284876
Mercedes-Benz Auto Lease Trust 2020-A,2021-01-31,12,14242461.78,0.0065313462550345164,2180631867.284876
Mercedes-Benz Auto Lease Trust 2020-A,2021-02-28,13,15195682.54,0.0069684767832546984,2180631867.284876
Mercedes-Benz Auto Lease Trust 2020-A,2021-03-31,14,16351469.45,0.007498500638881041,2180631867.284876
Mercedes-Benz Auto Lease Trust 2020-A,2021-04-30,15,17472000.73,0.008012356873310552,2180631867.284876
Mercedes-Benz Auto Lease Trust 2020-A,2021-05-31,16,17811602.09,0.008168092174208838,2180631867.284876
Mercedes-Benz Auto Lease Trust 2020-A,2021-06-30,17,18771442.65,0.008608258428036497,2180631867.284876
Mercedes-Benz Auto Lease Trust 2020-A,2021-07-31,18,19772624.51,0.009067383085903019,2180631867.284876
Mercedes-Benz Auto Lease Trust 2020-A,2021-08-31,19,20725803.88,0.009504494633386186,2180631867.284876
Mercedes-Benz Auto Lease Trust 2020-A,2021-09-30,20,21587500.72,0.009899653877331797,2180631867.284876
Mercedes-Benz Auto Lease Trust 2020-A,2021-10-31,21,22571111.72,0.01035072084317629,2180631867.284876
Mercedes-Benz Auto Lease Trust 2020-A,2021-11-30,22,24379198.56,0.011179878147132994,2180631867.284876
Mercedes-Benz Auto Lease Trust 2020-A,2021-12-31,23,24736545.2,0.01134375112604389,2180631867.284876
Mercedes-Benz Auto Lease Trust 2020-A,2022-01-31,24,25258041.45,0.011582900272593472,2180631867.284876
Mercedes-Benz Auto Lease Trust 2020-A,2022-02-28,25,26137359.76,0.011986140417430412,2180631867.284876
Mercedes-Benz Auto Lease Trust 2020-A,2022-03-31,26,26651434.88,0.012221886362315679,2180631867.284876
Mercedes-Benz Auto Lease Trust 2020-A,2022-04-30,27,27061828.32,0.01241008568479508,2180631867.284876
