series,reporting_date,n_returned,n_retained,n_chargeoff,n_other,scheduled_returned,realized_returned,excess_fees_returned,cum_n_returned,cum_n_retained,cum_n_chargeoff,cum_n_other,cum_scheduled_returned,cum_realized_returned,cum_excess_fees_returned,initial_pool_balance
Ford Credit Auto Lease Trust 2017-A,2017-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1415189850.8000047
Ford Credit Auto Lease Trust 2017-A,2017-03-31,48.0,97.0,5.0,1.0,758294.85,802898.02,11164.439999999999,48.0,97.0,5.0,1.0,758294.85,802898.02,11164.439999999999,1415189850.8000047
Ford Credit Auto Lease Trust 2017-A,2017-04-30,94.0,108.0,7.0,0.0,1625750.35,1689562.4900000002,22538.0,142.0,205.0,12.0,1.0,2384045.2,2492460.5100000002,33702.44,1415189850.8000047
Ford Credit Auto Lease Trust 2017-A,2017-05-31,190.0,124.0,27.0,4.0,3227192.6,3310905.7600000002,43256.69,332.0,329.0,39.0,5.0,5611237.800000001,5803366.2700000005,76959.13,1415189850.8000047
Ford Credit Auto Lease Trust 2017-A,2017-06-30,286.0,174.0,26.0,0.0,4843737.46,4909814.66,69954.26,618.0,503.0,65.0,5.0,10454975.26,10713180.93,146913.39,1415189850.8000047
Ford Credit Auto Lease Trust 2017-A,2017-07-31,378.0,162.0,27.0,0.0,6486174.75,6709528.290000001,64316.729999999996,996.0,665.0,92.0,5.0,16941150.009999998,17422709.220000003,211230.12,1415189850.8000047
Ford Credit Auto Lease Trust 2017-A,2017-08-31,599.0,234.0,24.0,0.0,10244533.45,10578309.49,113814.84000000001,1595.0,899.0,116.0,5.0,27185683.46,28001018.71,325044.96,1415189850.8000047
Ford Credit Auto Lease Trust 2017-A,2017-09-30,595.0,223.0,26.0,0.0,10462975.899999999,10902971.67,96762.09,2190.0,1122.0,142.0,5.0,37648659.36,38903990.38,421807.05,1415189850.8000047
Ford Credit Auto Lease Trust 2017-A,2017-10-31,603.0,235.0,26.0,1.0,10391039.3,10581647.670000002,89347.9,2793.0,1357.0,168.0,6.0,48039698.66,49485638.050000004,511154.95,1415189850.8000047
Ford Credit Auto Lease Trust 2017-A,2017-11-30,489.0,227.0,28.0,2.0,8544782.650000002,8600696.940000001,99509.19,3282.0,1584.0,196.0,8.0,56584481.31,58086334.99,610664.14,1415189850.8000047
