series,reporting_date,vintage_month,cum_co_amount,cnl_rate,original_balance
GM Financial Automobile Leasing Trust 2017-1,2017-02-28,0,732762.6300000001,0.00041180243230559455,1779403355.869992
GM Financial Automobile Leasing Trust 2017-1,2017-03-31,1,2411405.3,0.0013551763247186906,1779403355.869992
GM Financial Automobile Leasing Trust 2017-1,2017-04-30,2,3821878.52,0.0021478427065972313,1779403355.869992
GM Financial Automobile Leasing Trust 2017-1,2017-05-31,3,5181236.6899999995,0.0029117831395045176,1779403355.869992
GM Financial Automobile Leasing Trust 2017-1,2017-06-30,4,7358234.6,0.004135225763021216,1779403355.869992
GM Financial Automobile Leasing Trust 2017-1,2017-07-31,5,9186899.49,0.005162910061787711,1779403355.869992
GM Financial Automobile Leasing Trust 2017-1,2017-08-31,6,11290293.39,0.006344988252806745,1779403355.869992
GM Financial Automobile Leasing Trust 2017-1,2017-09-30,7,13647263.5,0.007669572755935111,1779403355.869992
GM Financial Automobile Leasing Trust 2017-1,2017-10-31,8,16112502.190000001,0.009055002698993012,1779403355.869992
GM Financial Automobile Leasing Trust 2017-1,2017-11-30,9,18098961.96,0.010171365531201324,1779403355.869992
GM Financial Automobile Leasing Trust 2017-1,2017-12-31,10,19826150.61,0.011142021590886867,1779403355.869992
GM Financial Automobile Leasing Trust 2017-1,2018-01-31,11,21400045.2,0.012026528515529867,1779403355.869992
GM Financial Automobile Leasing Trust 2017-1,2018-02-28,12,22956643.17,0.012901314979692146,1779403355.869992
GM Financial Automobile Leasing Trust 2017-1,2018-03-31,13,25445386.57,0.014299954243684763,1779403355.869992
GM Financial Automobile Leasing Trust 2017-1,2018-04-30,14,27352172.0,0.015371541202150247,1779403355.869992
GM Financial Automobile Leasing Trust 2017-1,2018-05-31,15,29917105.25,0.016812998104846683,1779403355.869992
GM Financial Automobile Leasing Trust 2017-1,2018-06-30,16,32408564.55,0.018213163666961105,1779403355.869992
GM Financial Automobile Leasing Trust 2017-1,2018-07-31,17,34930464.04,0.019630436193553022,1779403355.869992
GM Financial Automobile Leasing Trust 2017-1,2018-08-31,18,36245018.77,0.0203691977147469,1779403355.869992
GM Financial Automobile Leasing Trust 2017-1,2018-09-30,19,37488582.4,0.021068063222613714,1779403355.869992
GM Financial Automobile Leasing Trust 2017-1,2018-10-31,20,39093301.98,0.0219698933639958,1779403355.869992
GM Financial Automobile Leasing Trust 2017-1,2018-11-30,21,40462803.46,0.022739534196403035,1779403355.869992
GM Financial Automobile Leasing Trust 2017-1,2018-12-31,22,41313235.46,0.023217465182199228,1779403355.869992
GM Financial Automobile Leasing Trust 2017-1,2019-01-31,23,42476567.55,0.023871241677653355,1779403355.869992
GM Financial Automobile Leasing Trust 2017-1,2019-02-28,24,43294771.1,0.024331060721660927,1779403355.869992
GM Financial Automobile Leasing Trust 2017-1,2019-03-31,25,44012332.13,0.02473432006566119,1779403355.869992
GM Financial Automobile Leasing Trust 2017-1,2019-04-30,26,44800674.34,0.02517735745086077,1779403355.869992
GM Financial Automobile Leasing Trust 2017-1,2019-05-31,27,45417772.99,0.02552415833103461,1779403355.869992
GM Financial Automobile Leasing Trust 2017-1,2019-06-30,28,46038682.88,0.0258731010752144,1779403355.869992
GM Financial Automobile Leasing Trust 2017-1,2019-07-31,29,46830908.64,0.026318320961636756,1779403355.869992
GM Financial Automobile Leasing Trust 2017-1,2019-08-31,30,47467375.410000004,0.026676006456553013,1779403355.869992
GM Financial Automobile Leasing Trust 2017-1,2019-09-30,31,48349026.65,0.02717148222211879,1779403355.869992
GM Financial Automobile Leasing Trust 2017-1,2019-10-31,32,49007949.38,0.027541787655019266,1779403355.869992
GM Financial Automobile Leasing Trust 2017-2,2017-05-31,0,995618.6600000001,0.0006567475020220623,1515983931.3200068
GM Financial Automobile Leasing Trust 2017-2,2017-06-30,1,2057551.29,0.0013572381919697766,1515983931.3200068
GM Financial Automobile Leasing Trust 2017-2,2017-07-31,2,3164210.98,0.002087232532369152,1515983931.3200068
GM Financial Automobile Leasing Trust 2017-2,2017-08-31,3,5169735.74,0.0034101520690252808,1515983931.3200068
GM Financial Automobile Leasing Trust 2017-2,2017-09-30,4,6553619.8100000005,0.004323014033726329,1515983931.3200068
GM Financial Automobile Leasing Trust 2017-2,2017-10-31,5,9267206.65,0.006112997940506402,1515983931.3200068
GM Financial Automobile Leasing Trust 2017-2,2017-11-30,6,11466859.379999999,0.007563971585117993,1515983931.3200068
