issuer_code,series_label,entity_name,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
WOSAT,WOSAT 2019-A,World Omni Select Auto Trust 2019-A,2,297488.14000000,816779715.42999971,297488.14000000,0.00036422
WOSAT,WOSAT 2019-A,World Omni Select Auto Trust 2019-A,3,480573.40000000,816779715.42999971,778061.54000000,0.00095260
WOSAT,WOSAT 2019-A,World Omni Select Auto Trust 2019-A,4,2041057.47000000,816779715.42999971,2819119.01000000,0.00345150
WOSAT,WOSAT 2019-A,World Omni Select Auto Trust 2019-A,5,3030109.43000000,816779715.42999971,5849228.44000000,0.00716133
WOSAT,WOSAT 2019-A,World Omni Select Auto Trust 2019-A,6,3787301.03000000,816779715.42999971,9636529.47000000,0.01179820
WOSAT,WOSAT 2019-A,World Omni Select Auto Trust 2019-A,7,4068312.05000000,816779715.42999971,13704841.52000000,0.01677912
WOSAT,WOSAT 2019-A,World Omni Select Auto Trust 2019-A,8,3575752.19000000,816779715.42999971,17280593.71000000,0.02115698
WOSAT,WOSAT 2019-A,World Omni Select Auto Trust 2019-A,9,3804503.64000000,816779715.42999971,21085097.35000000,0.02581491
WOSAT,WOSAT 2019-A,World Omni Select Auto Trust 2019-A,10,2268947.75000000,816779715.42999971,23354045.10000000,0.02859283
WOSAT,WOSAT 2019-A,World Omni Select Auto Trust 2019-A,11,2145539.15000000,816779715.42999971,25499584.25000000,0.03121966
WOSAT,WOSAT 2019-A,World Omni Select Auto Trust 2019-A,12,1356527.79000000,816779715.42999971,26856112.04000000,0.03288048
WOSAT,WOSAT 2019-A,World Omni Select Auto Trust 2019-A,13,1497393.44000000,816779715.42999971,28353505.48000000,0.03471377
WOSAT,WOSAT 2019-A,World Omni Select Auto Trust 2019-A,14,2523706.02000000,816779715.42999971,30877211.50000000,0.03780360
WOSAT,WOSAT 2019-A,World Omni Select Auto Trust 2019-A,15,3130555.17000000,816779715.42999971,34007766.67000000,0.04163640
WOSAT,WOSAT 2019-A,World Omni Select Auto Trust 2019-A,16,2596798.09000000,816779715.42999971,36604564.76000001,0.04481571
WOSAT,WOSAT 2019-A,World Omni Select Auto Trust 2019-A,17,2869707.25000000,816779715.42999971,39474272.01000001,0.04832915
WOSAT,WOSAT 2019-A,World Omni Select Auto Trust 2019-A,18,2458567.59000000,816779715.42999971,41932839.60000000,0.05133923
WOSAT,WOSAT 2019-A,World Omni Select Auto Trust 2019-A,19,2591108.51000000,816779715.42999971,44523948.11000001,0.05451157
WOSAT,WOSAT 2019-A,World Omni Select Auto Trust 2019-A,20,1657515.13000000,816779715.42999971,46181463.24000000,0.05654090
WOSAT,WOSAT 2019-A,World Omni Select Auto Trust 2019-A,21,1234384.68000000,816779715.42999971,47415847.92000000,0.05805219
WOSAT,WOSAT 2019-A,World Omni Select Auto Trust 2019-A,22,1111160.72000000,816779715.42999971,48527008.64000001,0.05941260
WOSAT,WOSAT 2019-A,World Omni Select Auto Trust 2019-A,23,995147.36000000,816779715.42999971,49522156.00000001,0.06063098
WOSAT,WOSAT 2019-A,World Omni Select Auto Trust 2019-A,24,704491.26000000,816779715.42999971,50226647.26000001,0.06149350
WOSAT,WOSAT 2019-A,World Omni Select Auto Trust 2019-A,25,1035243.73000000,816779715.42999971,51261890.99000000,0.06276097
WOSAT,WOSAT 2019-A,World Omni Select Auto Trust 2019-A,26,921137.92000000,816779715.42999971,52183028.91000000,0.06388874
WOSAT,WOSAT 2019-A,World Omni Select Auto Trust 2019-A,27,990457.27000000,816779715.42999971,53173486.18000001,0.06510138
WOSAT,WOSAT 2019-A,World Omni Select Auto Trust 2019-A,28,973746.97000000,816779715.42999971,54147233.15000001,0.06629356
WOSAT,WOSAT 2019-A,World Omni Select Auto Trust 2019-A,29,951073.57000000,816779715.42999971,55098306.72000001,0.06745798
WOSAT,WOSAT 2019-A,World Omni Select Auto Trust 2019-A,30,723942.90000000,816779715.42999971,55822249.62000000,0.06834431
WOSAT,WOSAT 2019-A,World Omni Select Auto Trust 2019-A,31,646948.43000000,816779715.42999971,56469198.05000000,0.06913639
WOSAT,WOSAT 2019-A,World Omni Select Auto Trust 2019-A,32,653600.44000000,816779715.42999971,57122798.49000000,0.06993660
WOSAT,WOSAT 2019-A,World Omni Select Auto Trust 2019-A,33,564743.39000000,816779715.42999971,57687541.88000000,0.07062803
WOSAT,WOSAT 2019-A,World Omni Select Auto Trust 2019-A,34,489557.35000000,816779715.42999971,58177099.23000000,0.07122740
WOSAT,WOSAT 2019-A,World Omni Select Auto Trust 2019-A,35,574144.45000000,816779715.42999971,58751243.68000001,0.07193034
WOSAT,WOSAT 2019-A,World Omni Select Auto Trust 2019-A,36,444935.09000000,816779715.42999971,59196178.77000000,0.07247508
WOSAT,WOSAT 2019-A,World Omni Select Auto Trust 2019-A,37,772923.13000000,816779715.42999971,59969101.90000001,0.07342139
WOSAT,WOSAT 2019-A,World Omni Select Auto Trust 2019-A,38,823966.61000000,816779715.42999971,60793068.51000001,0.07443019
WOSAT,WOSAT 2019-A,World Omni Select Auto Trust 2019-A,39,496634.46000000,816779715.42999971,61289702.97000001,0.07503823
WOSAT,WOSAT 2019-A,World Omni Select Auto Trust 2019-A,40,476508.14000000,816779715.42999971,61766211.11000001,0.07562163
WOSAT,WOSAT 2019-A,World Omni Select Auto Trust 2019-A,41,526931.55000000,816779715.42999971,62293142.66000000,0.07626676
WOSAT,WOSAT 2019-A,World Omni Select Auto Trust 2019-A,42,584834.54000000,816779715.42999971,62877977.20000000,0.07698278
WOSAT,WOSAT 2019-A,World Omni Select Auto Trust 2019-A,43,439051.26000000,816779715.42999971,63317028.46000000,0.07752032
WOSAT,WOSAT 2019-A,World Omni Select Auto Trust 2019-A,44,315279.42000000,816779715.42999971,63632307.88000000,0.07790633
WOSAT,WOSAT 2019-A,World Omni Select Auto Trust 2019-A,45,359621.67000000,816779715.42999971,63991929.55000000,0.07834662
WOSAT,WOSAT 2019-A,World Omni Select Auto Trust 2019-A,46,352822.04000000,816779715.42999971,64344751.59000000,0.07877859
