issuer_code,vintage_year,fico_low,new_used,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
COPAR,2019,700,1,1,77584.81000000,77754906.07000004,77584.81000000,0.00099781
COPAR,2019,700,1,2,61776.09000000,77754906.07000004,139360.90000000,0.00179231
COPAR,2019,700,1,3,14552.85000000,77754906.07000004,153913.75000000,0.00197947
COPAR,2019,700,1,4,22879.40000000,77754906.07000004,176793.15000000,0.00227372
COPAR,2019,700,1,5,15633.53000000,77754906.07000004,192426.68000000,0.00247479
COPAR,2019,700,1,6,41210.36000000,77754906.07000004,233637.04000000,0.00300479
COPAR,2019,700,1,8,39858.19000000,77754906.07000004,273495.23000000,0.00351740
COPAR,2019,700,1,10,23944.67000000,77754906.07000004,297439.90000000,0.00382535
COPAR,2019,700,1,11,75867.57000000,77754906.07000004,373307.47000000,0.00480108
COPAR,2019,700,1,12,24254.63000000,77754906.07000004,397562.10000000,0.00511302
COPAR,2019,700,1,13,72183.80000000,77754906.07000004,469745.90000000,0.00604137
COPAR,2019,700,1,14,14569.45000000,77754906.07000004,484315.35000000,0.00622874
COPAR,2019,700,1,16,50446.47000000,77754906.07000004,534761.82000000,0.00687753
COPAR,2019,700,1,17,18979.41000000,77754906.07000004,553741.23000000,0.00712162
COPAR,2019,700,1,18,55318.15000000,77754906.07000004,609059.38000000,0.00783307
COPAR,2019,700,1,19,22179.93000000,77754906.07000004,631239.31000000,0.00811832
COPAR,2019,700,1,21,12242.81000000,77754906.07000004,643482.12000000,0.00827578
COPAR,2019,700,1,23,70772.04000000,77754906.07000004,714254.16000000,0.00918597
COPAR,2019,700,1,27,33059.26000000,77754906.07000004,747313.42000000,0.00961114
COPAR,2019,700,1,28,61738.81000000,77754906.07000004,809052.23000000,0.01040516
COPAR,2019,700,1,29,14968.64000000,77754906.07000004,824020.87000000,0.01059767
COPAR,2019,700,1,30,20356.24000000,77754906.07000004,844377.11000000,0.01085947
COPAR,2019,700,1,31,33749.11000000,77754906.07000004,878126.22000000,0.01129352
COPAR,2019,700,1,32,20919.55000000,77754906.07000004,899045.77000000,0.01156256
COPAR,2019,700,1,36,10374.60000000,77754906.07000004,909420.37000000,0.01169599
COPAR,2019,700,1,37,10438.63000000,77754906.07000004,919859.00000000,0.01183024
COPAR,2019,700,1,42,12429.46000000,77754906.07000004,932288.46000000,0.01199009
COPAR,2019,700,2,2,121353.75000000,160642299.38999999,121353.75000000,0.00075543
COPAR,2019,700,2,3,117908.52000000,160642299.38999999,239262.27000000,0.00148941
COPAR,2019,700,2,4,141892.47000000,160642299.38999999,381154.74000000,0.00237269
COPAR,2019,700,2,5,91428.48000000,160642299.38999999,472583.22000000,0.00294184
COPAR,2019,700,2,6,184369.36000000,160642299.38999999,656952.58000000,0.00408954
COPAR,2019,700,2,7,60591.37000000,160642299.38999999,717543.95000000,0.00446672
COPAR,2019,700,2,8,85301.28000000,160642299.38999999,802845.23000000,0.00499772
COPAR,2019,700,2,9,81959.50000000,160642299.38999999,884804.73000000,0.00550792
COPAR,2019,700,2,10,148722.86000000,160642299.38999999,1033527.59000000,0.00643372
COPAR,2019,700,2,11,19809.04000000,160642299.38999999,1053336.63000000,0.00655703
COPAR,2019,700,2,12,137944.56000000,160642299.38999999,1191281.19000000,0.00741574
COPAR,2019,700,2,13,91924.16000000,160642299.38999999,1283205.35000000,0.00798797
COPAR,2019,700,2,14,81958.14000000,160642299.38999999,1365163.49000000,0.00849816
COPAR,2019,700,2,15,153651.44000000,160642299.38999999,1518814.93000000,0.00945464
COPAR,2019,700,2,16,61310.96000000,160642299.38999999,1580125.89000000,0.00983630
COPAR,2019,700,2,17,13628.13000000,160642299.38999999,1593754.02000000,0.00992114
COPAR,2019,700,2,18,24219.59000000,160642299.38999999,1617973.61000000,0.01007190
COPAR,2019,700,2,19,90418.46000000,160642299.38999999,1708392.07000000,0.01063476
COPAR,2019,700,2,20,65374.71000000,160642299.38999999,1773766.78000000,0.01104172
COPAR,2019,700,2,21,50789.03000000,160642299.38999999,1824555.81000000,0.01135788
COPAR,2019,700,2,22,29718.22000000,160642299.38999999,1854274.03000000,0.01154288
COPAR,2019,700,2,23,14529.48000000,160642299.38999999,1868803.51000000,0.01163332
COPAR,2019,700,2,24,14203.82000000,160642299.38999999,1883007.33000000,0.01172174
COPAR,2019,700,2,25,46295.40000000,160642299.38999999,1929302.73000000,0.01200993
COPAR,2019,700,2,26,53961.71000000,160642299.38999999,1983264.44000000,0.01234584
COPAR,2019,700,2,27,10818.65000000,160642299.38999999,1994083.09000000,0.01241319
COPAR,2019,700,2,28,24091.93000000,160642299.38999999,2018175.02000000,0.01256316
COPAR,2019,700,2,29,11661.85000000,160642299.38999999,2029836.87000000,0.01263576
COPAR,2019,700,2,30,38868.98000000,160642299.38999999,2068705.85000000,0.01287772
COPAR,2019,700,2,31,18819.06000000,160642299.38999999,2087524.91000000,0.01299486
COPAR,2019,700,2,32,59025.93000000,160642299.38999999,2146550.84000000,0.01336230
COPAR,2019,700,2,33,31979.90000000,160642299.38999999,2178530.74000000,0.01356138
COPAR,2019,700,2,34,7630.05000000,160642299.38999999,2186160.79000000,0.01360887
COPAR,2019,700,2,35,18319.08000000,160642299.38999999,2204479.87000000,0.01372291
COPAR,2019,700,2,36,12266.88000000,160642299.38999999,2216746.75000000,0.01379927
COPAR,2019,700,2,37,63190.88000000,160642299.38999999,2279937.63000000,0.01419264
COPAR,2019,700,2,39,54127.91000000,160642299.38999999,2334065.54000000,0.01452958
COPAR,2019,700,2,40,5650.95000000,160642299.38999999,2339716.49000000,0.01456476
COPAR,2019,700,2,43,19900.82000000,160642299.38999999,2359617.31000000,0.01468864
COPAR,2019,700,2,44,16227.30000000,160642299.38999999,2375844.61000000,0.01478966
COPAR,2019,700,2,45,10084.18000000,160642299.38999999,2385928.79000000,0.01485243
COPAR,2019,700,2,46,12084.40000000,160642299.38999999,2398013.19000000,0.01492766
COPAR,2019,710,1,1,52402.68000000,88028968.44000004,52402.68000000,0.00059529
COPAR,2019,710,1,2,41963.36000000,88028968.44000004,94366.04000000,0.00107199
COPAR,2019,710,1,3,72329.17000000,88028968.44000004,166695.21000000,0.00189364
COPAR,2019,710,1,4,33039.86000000,88028968.44000004,199735.07000000,0.00226897
COPAR,2019,710,1,6,98414.17000000,88028968.44000004,298149.24000000,0.00338694
COPAR,2019,710,1,7,60340.36000000,88028968.44000004,358489.60000000,0.00407240
COPAR,2019,710,1,8,104071.49000000,88028968.44000004,462561.09000000,0.00525465
COPAR,2019,710,1,9,53195.91000000,88028968.44000004,515757.00000000,0.00585895
