issuer_code,vintage_year,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
BMWOT,2017,3,126135.76000000,1929401943.68008137,126135.76000000,0.00006538
BMWOT,2017,4,138685.75000000,1929401943.68008137,264821.51000000,0.00013726
BMWOT,2017,5,185250.78000000,1929401943.68008137,450072.29000000,0.00023327
BMWOT,2017,6,167714.83000000,1929401943.68008137,617787.12000000,0.00032020
BMWOT,2017,7,227480.33000000,1929401943.68008137,845267.45000000,0.00043810
BMWOT,2017,8,364130.32000000,1929401943.68008137,1209397.77000000,0.00062683
BMWOT,2017,9,282936.74000000,1929401943.68008137,1492334.51000000,0.00077347
BMWOT,2017,10,227437.34000000,1929401943.68008137,1719771.85000000,0.00089135
BMWOT,2017,11,374577.23000000,1929401943.68008137,2094349.08000000,0.00108549
BMWOT,2017,12,245984.53000000,1929401943.68008137,2340333.61000000,0.00121298
BMWOT,2017,13,248645.21000000,1929401943.68008137,2588978.82000000,0.00134186
BMWOT,2017,14,155763.80000000,1929401943.68008137,2744742.62000000,0.00142259
BMWOT,2017,15,272404.41000000,1929401943.68008137,3017147.03000000,0.00156377
BMWOT,2017,16,418399.27000000,1929401943.68008137,3435546.30000000,0.00178063
BMWOT,2017,17,137146.14000000,1929401943.68008137,3572692.44000000,0.00185171
BMWOT,2017,18,309716.42000000,1929401943.68008137,3882408.86000000,0.00201223
BMWOT,2017,19,294916.46000000,1929401943.68008137,4177325.32000000,0.00216509
BMWOT,2017,20,185911.86000000,1929401943.68008137,4363237.18000000,0.00226145
BMWOT,2017,21,352676.27000000,1929401943.68008137,4715913.45000000,0.00244424
BMWOT,2017,22,261784.99000000,1929401943.68008137,4977698.44000000,0.00257992
BMWOT,2017,23,188178.68000000,1929401943.68008137,5165877.12000000,0.00267745
BMWOT,2017,24,90065.53000000,1929401943.68008137,5255942.65000000,0.00272413
BMWOT,2017,25,163079.71000000,1929401943.68008137,5419022.36000000,0.00280865
BMWOT,2017,26,152048.04000000,1929401943.68008137,5571070.40000000,0.00288746
BMWOT,2017,27,62309.79000000,1929401943.68008137,5633380.19000000,0.00291975
BMWOT,2017,28,131707.54000000,1929401943.68008137,5765087.73000000,0.00298802
BMWOT,2017,29,91071.07000000,1929401943.68008137,5856158.80000000,0.00303522
BMWOT,2017,30,195610.81000000,1929401943.68008137,6051769.61000000,0.00313660
BMWOT,2017,31,119930.67000000,1929401943.68008137,6171700.28000000,0.00319876
BMWOT,2017,32,44952.90000000,1929401943.68008137,6216653.18000000,0.00322206
BMWOT,2017,34,46937.26000000,1929401943.68008137,6263590.44000000,0.00324639
BMWOT,2017,35,10813.79000000,1929401943.68008137,6274404.23000000,0.00325199
BMWOT,2017,36,37426.78000000,1929401943.68008137,6311831.01000000,0.00327139
BMWOT,2017,37,12804.53000000,1929401943.68008137,6324635.54000000,0.00327803
BMWOT,2017,39,52313.34000000,1929401943.68008137,6376948.88000000,0.00330514
BMWOT,2017,40,16151.22000000,1929401943.68008137,6393100.10000000,0.00331351
BMWOT,2017,41,49202.61000000,1929401943.68008137,6442302.71000000,0.00333902
BMWOT,2017,43,13555.90000000,1929401943.68008137,6455858.61000000,0.00334604
BMWOT,2017,48,7459.87000000,1929401943.68008137,6463318.48000000,0.00334991
BMWOT,2019,3,113322.81000000,1765068482.32001162,113322.81000000,0.00006420
BMWOT,2019,4,83912.29000000,1765068482.32001162,197235.10000000,0.00011174
