issuer_code,vintage_year,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
TAOT,2011,71,2472.49000000,33847419.82000000,2472.49000000,0.00007305
TAOT,2011,75,790.05000000,33847419.82000000,3262.54000000,0.00009639
TAOT,2011,76,3125.61000000,33847419.82000000,6388.15000000,0.00018873
TAOT,2011,77,62.86000000,33847419.82000000,6451.01000000,0.00019059
TAOT,2012,56,3559.68000000,485867791.40999991,3559.68000000,0.00000733
TAOT,2012,57,11434.06000000,485867791.40999991,14993.74000000,0.00003086
TAOT,2012,58,2444.97000000,485867791.40999991,17438.71000000,0.00003589
TAOT,2012,59,1638.20000000,485867791.40999991,19076.91000000,0.00003926
TAOT,2012,60,2248.13000000,485867791.40999991,21325.04000000,0.00004389
TAOT,2012,61,16286.91000000,485867791.40999991,37611.95000000,0.00007741
TAOT,2012,62,2926.22000000,485867791.40999991,40538.17000000,0.00008343
TAOT,2012,63,1999.02000000,485867791.40999991,42537.19000000,0.00008755
TAOT,2012,64,4.28000000,485867791.40999991,42541.47000000,0.00008756
TAOT,2012,65,6129.14000000,485867791.40999991,48670.61000000,0.00010017
TAOT,2012,66,8985.73000000,485867791.40999991,57656.34000000,0.00011867
TAOT,2012,67,4456.06000000,485867791.40999991,62112.40000000,0.00012784
TAOT,2012,68,2698.62000000,485867791.40999991,64811.02000000,0.00013339
TAOT,2012,70,1234.58000000,485867791.40999991,66045.60000000,0.00013593
TAOT,2012,71,1488.24000000,485867791.40999991,67533.84000000,0.00013900
TAOT,2012,73,3190.99000000,485867791.40999991,70724.83000000,0.00014556
TAOT,2012,74,3860.39000000,485867791.40999991,74585.22000000,0.00015351
TAOT,2012,75,5930.02000000,485867791.40999991,80515.24000000,0.00016571
TAOT,2012,76,4198.94000000,485867791.40999991,84714.18000000,0.00017436
TAOT,2012,77,2015.18000000,485867791.40999991,86729.36000000,0.00017850
TAOT,2012,79,1650.43000000,485867791.40999991,88379.79000000,0.00018190
TAOT,2013,45,13849.43000000,1262727098.85999966,13849.43000000,0.00001097
TAOT,2013,46,29673.37000000,1262727098.85999966,43522.80000000,0.00003447
TAOT,2013,47,20217.50000000,1262727098.85999966,63740.30000000,0.00005048
TAOT,2013,48,19714.47000000,1262727098.85999966,83454.77000000,0.00006609
TAOT,2013,49,30348.70000000,1262727098.85999966,113803.47000000,0.00009013
