issuer_code,vintage_year,fico_low,new_used,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
WOART,2017,430,1,39,1488.36000000,77120.86000000,1488.36000000,0.01929906
WOART,2017,440,1,15,24848.33000000,70890.28000000,24848.33000000,0.35051815
WOART,2017,450,1,36,20838.51000000,74339.11000000,20838.51000000,0.28031692
WOART,2017,450,2,10,18880.07000000,36765.23000000,18880.07000000,0.51353058
WOART,2017,460,1,13,21616.40000000,111637.07000000,21616.40000000,0.19363102
WOART,2017,460,1,28,22878.88000000,111637.07000000,44495.28000000,0.39857083
WOART,2017,460,2,49,5466.95000000,62913.12000000,5466.95000000,0.08689682
WOART,2017,470,1,7,26316.14000000,370588.29000000,26316.14000000,0.07101180
WOART,2017,470,1,35,1554.69000000,370588.29000000,27870.83000000,0.07520699
WOART,2017,470,1,37,17488.59000000,370588.29000000,45359.42000000,0.12239842
WOART,2017,470,2,37,10132.74000000,54084.97000000,10132.74000000,0.18734854
WOART,2017,480,1,9,218.72000000,493191.98000000,218.72000000,0.00044348
WOART,2017,480,1,17,24509.50000000,493191.98000000,24728.22000000,0.05013914
WOART,2017,480,1,22,23618.58000000,493191.98000000,48346.80000000,0.09802836
WOART,2017,480,1,36,14061.92000000,493191.98000000,62408.72000000,0.12654042
WOART,2017,480,1,47,12650.44000000,493191.98000000,75059.16000000,0.15219055
WOART,2017,480,2,24,7518.59000000,43050.12000000,7518.59000000,0.17464736
WOART,2017,480,2,36,1754.74000000,43050.12000000,9273.33000000,0.21540776
WOART,2017,490,1,5,26453.50000000,660780.16000000,26453.50000000,0.04003374
WOART,2017,490,1,6,27912.26000000,660780.16000000,54365.76000000,0.08227511
WOART,2017,490,1,13,27061.20000000,660780.16000000,81426.96000000,0.12322852
WOART,2017,490,1,14,23505.74000000,660780.16000000,104932.70000000,0.15880123
WOART,2017,490,1,20,1236.74000000,660780.16000000,106169.44000000,0.16067286
WOART,2017,490,1,44,16650.37000000,660780.16000000,122819.81000000,0.18587091
WOART,2017,490,2,16,43845.04000000,152483.82000000,43845.04000000,0.28753897
WOART,2017,500,1,10,43126.85000000,1210666.73000000,43126.85000000,0.03562240
WOART,2017,500,1,12,1969.99000000,1210666.73000000,45096.84000000,0.03724959
WOART,2017,500,1,13,27294.53000000,1210666.73000000,72391.37000000,0.05979463
WOART,2017,500,1,15,232.13000000,1210666.73000000,72623.50000000,0.05998637
WOART,2017,500,1,21,27324.67000000,1210666.73000000,99948.17000000,0.08255630
WOART,2017,500,1,23,19108.60000000,1210666.73000000,119056.77000000,0.09833984
WOART,2017,500,1,25,1707.55000000,1210666.73000000,120764.32000000,0.09975026
WOART,2017,500,1,26,23456.57000000,1210666.73000000,144220.89000000,0.11912518
WOART,2017,500,2,5,22388.81000000,348327.03000000,22388.81000000,0.06427526
WOART,2017,500,2,13,21531.57000000,348327.03000000,43920.38000000,0.12608950
WOART,2017,500,2,18,1221.72000000,348327.03000000,45142.10000000,0.12959689
WOART,2017,500,2,20,25737.47000000,348327.03000000,70879.57000000,0.20348570
WOART,2017,500,2,40,4920.71000000,348327.03000000,75800.28000000,0.21761240
WOART,2017,500,2,50,1092.05000000,348327.03000000,76892.33000000,0.22074753
WOART,2017,510,1,6,56232.03000000,1347213.50000000,56232.03000000,0.04173951
WOART,2017,510,1,7,836.02000000,1347213.50000000,57068.05000000,0.04236006
WOART,2017,510,1,8,22669.80000000,1347213.50000000,79737.85000000,0.05918724
WOART,2017,510,1,11,47738.86000000,1347213.50000000,127476.71000000,0.09462250
WOART,2017,510,1,15,30711.38000000,1347213.50000000,158188.09000000,0.11741872
WOART,2017,510,1,16,18740.06000000,1347213.50000000,176928.15000000,0.13132896
WOART,2017,510,1,18,48349.14000000,1347213.50000000,225277.29000000,0.16721722
WOART,2017,510,1,21,21200.58000000,1347213.50000000,246477.87000000,0.18295383
WOART,2017,510,1,27,24349.50000000,1347213.50000000,270827.37000000,0.20102780
WOART,2017,510,1,32,24559.86000000,1347213.50000000,295387.23000000,0.21925792
WOART,2017,510,1,33,13531.02000000,1347213.50000000,308918.25000000,0.22930163
WOART,2017,510,1,34,23503.40000000,1347213.50000000,332421.65000000,0.24674756
WOART,2017,510,1,39,6445.16000000,1347213.50000000,338866.81000000,0.25153163
WOART,2017,510,1,48,14043.91000000,1347213.50000000,352910.72000000,0.26195604
WOART,2017,510,1,51,9159.89000000,1347213.50000000,362070.61000000,0.26875518
WOART,2017,510,2,11,11418.65000000,258479.29000000,11418.65000000,0.04417627
WOART,2017,510,2,13,9990.51000000,258479.29000000,21409.16000000,0.08282737
WOART,2017,510,2,37,10031.95000000,258479.29000000,31441.11000000,0.12163880
WOART,2017,520,1,5,34660.65000000,2754079.11000000,34660.65000000,0.01258520
WOART,2017,520,1,6,60989.48000000,2754079.11000000,95650.13000000,0.03473035
WOART,2017,520,1,7,80226.03000000,2754079.11000000,175876.16000000,0.06386024
WOART,2017,520,1,10,30053.46000000,2754079.11000000,205929.62000000,0.07477259
WOART,2017,520,1,11,29091.33000000,2754079.11000000,235020.95000000,0.08533558
WOART,2017,520,1,12,40765.38000000,2754079.11000000,275786.33000000,0.10013740
WOART,2017,520,1,13,3108.80000000,2754079.11000000,278895.13000000,0.10126620
WOART,2017,520,1,14,23042.29000000,2754079.11000000,301937.42000000,0.10963281
WOART,2017,520,1,15,24231.03000000,2754079.11000000,326168.45000000,0.11843104
WOART,2017,520,1,18,22311.40000000,2754079.11000000,348479.85000000,0.12653226
WOART,2017,520,1,19,26037.90000000,2754079.11000000,374517.75000000,0.13598656
WOART,2017,520,1,20,33817.06000000,2754079.11000000,408334.81000000,0.14826546
WOART,2017,520,1,21,57112.84000000,2754079.11000000,465447.65000000,0.16900301
WOART,2017,520,1,22,25399.12000000,2754079.11000000,490846.77000000,0.17822537
WOART,2017,520,1,23,17710.17000000,2754079.11000000,508556.94000000,0.18465589
WOART,2017,520,1,25,43242.65000000,2754079.11000000,551799.59000000,0.20035720
WOART,2017,520,1,29,696.91000000,2754079.11000000,552496.50000000,0.20061025
WOART,2017,520,1,33,1214.03000000,2754079.11000000,553710.53000000,0.20105106
WOART,2017,520,1,34,42301.96000000,2754079.11000000,596012.49000000,0.21641081
WOART,2017,520,1,46,12259.84000000,2754079.11000000,608272.33000000,0.22086233
WOART,2017,520,1,48,1761.11000000,2754079.11000000,610033.44000000,0.22150179
WOART,2017,520,2,5,6146.38000000,433363.09000000,6146.38000000,0.01418298
WOART,2017,520,2,6,17478.21000000,433363.09000000,23624.59000000,0.05451454
WOART,2017,520,2,16,2708.58000000,433363.09000000,26333.17000000,0.06076468
WOART,2017,520,2,17,13573.98000000,433363.09000000,39907.15000000,0.09208710
WOART,2017,520,2,32,6317.09000000,433363.09000000,46224.24000000,0.10666400
WOART,2017,520,2,35,15453.74000000,433363.09000000,61677.98000000,0.14232403
WOART,2017,530,1,4,35711.28000000,2550203.44000000,35711.28000000,0.01400331
WOART,2017,530,1,5,80069.93000000,2550203.44000000,115781.21000000,0.04540077
WOART,2017,530,1,6,101996.32000000,2550203.44000000,217777.53000000,0.08539614
WOART,2017,530,1,7,56466.40000000,2550203.44000000,274243.93000000,0.10753806
WOART,2017,530,1,10,24584.67000000,2550203.44000000,298828.60000000,0.11717834
WOART,2017,530,1,11,30044.50000000,2550203.44000000,328873.10000000,0.12895955
WOART,2017,530,1,12,51488.55000000,2550203.44000000,380361.65000000,0.14914953
WOART,2017,530,1,13,39256.13000000,2550203.44000000,419617.78000000,0.16454286
WOART,2017,530,1,14,19288.21000000,2550203.44000000,438905.99000000,0.17210627
WOART,2017,530,1,17,64596.27000000,2550203.44000000,503502.26000000,0.19743612
WOART,2017,530,1,19,29423.10000000,2550203.44000000,532925.36000000,0.20897367
WOART,2017,530,1,22,44729.87000000,2550203.44000000,577655.23000000,0.22651339
WOART,2017,530,1,24,18955.94000000,2550203.44000000,596611.17000000,0.23394650
WOART,2017,530,1,25,47671.45000000,2550203.44000000,644282.62000000,0.25263970
WOART,2017,530,1,28,24034.99000000,2550203.44000000,668317.61000000,0.26206443
WOART,2017,530,1,30,19343.76000000,2550203.44000000,687661.37000000,0.26964961
WOART,2017,530,1,32,17172.33000000,2550203.44000000,704833.70000000,0.27638332
WOART,2017,530,1,34,27683.09000000,2550203.44000000,732516.79000000,0.28723857
WOART,2017,530,1,37,53031.89000000,2550203.44000000,785548.68000000,0.30803373
WOART,2017,530,1,39,21265.64000000,2550203.44000000,806814.32000000,0.31637253
WOART,2017,530,2,5,34154.71000000,544940.12000000,34154.71000000,0.06267608
WOART,2017,530,2,7,10023.41000000,544940.12000000,44178.12000000,0.08106968
WOART,2017,530,2,10,6882.69000000,544940.12000000,51060.81000000,0.09369985
WOART,2017,530,2,18,17899.30000000,544940.12000000,68960.11000000,0.12654622
WOART,2017,530,2,20,10506.57000000,544940.12000000,79466.68000000,0.14582644
WOART,2017,530,2,21,11848.51000000,544940.12000000,91315.19000000,0.16756922
WOART,2017,530,2,23,50.22000000,544940.12000000,91365.41000000,0.16766138
WOART,2017,530,2,25,19034.43000000,544940.12000000,110399.84000000,0.20259077
WOART,2017,530,2,32,3443.08000000,544940.12000000,113842.92000000,0.20890904
WOART,2017,530,2,36,14742.84000000,544940.12000000,128585.76000000,0.23596310
WOART,2017,530,2,38,10436.37000000,544940.12000000,139022.13000000,0.25511451
WOART,2017,530,2,40,726.83000000,544940.12000000,139748.96000000,0.25644829
WOART,2017,530,2,43,12581.46000000,544940.12000000,152330.42000000,0.27953607
WOART,2017,540,1,6,76326.55000000,4044301.30000000,76326.55000000,0.01887262
WOART,2017,540,1,7,19312.89000000,4044301.30000000,95639.44000000,0.02364795
WOART,2017,540,1,8,76117.64000000,4044301.30000000,171757.08000000,0.04246891
WOART,2017,540,1,9,71495.04000000,4044301.30000000,243252.12000000,0.06014688
WOART,2017,540,1,10,18216.10000000,4044301.30000000,261468.22000000,0.06465102
WOART,2017,540,1,11,56589.86000000,4044301.30000000,318058.08000000,0.07864352
WOART,2017,540,1,13,23202.05000000,4044301.30000000,341260.13000000,0.08438049
WOART,2017,540,1,15,42313.75000000,4044301.30000000,383573.88000000,0.09484305
WOART,2017,540,1,16,50126.22000000,4044301.30000000,433700.10000000,0.10723734
