issuer_code,vintage_year,fico_low,new_used,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
WOSAT,2019,430,1,34,14758.84000000,50165.99000000,14758.84000000,0.29420011
WOSAT,2019,440,1,11,26635.51000000,92785.59000000,26635.51000000,0.28706516
WOSAT,2019,450,1,15,20853.71000000,104480.94000000,20853.71000000,0.19959344
WOSAT,2019,450,1,22,24904.39000000,104480.94000000,45758.10000000,0.43795643
WOSAT,2019,450,2,17,9274.80000000,63819.42000000,9274.80000000,0.14532880
WOSAT,2019,450,2,22,9073.34000000,63819.42000000,18348.14000000,0.28750089
WOSAT,2019,450,2,40,8977.92000000,63819.42000000,27326.06000000,0.42817782
WOSAT,2019,470,1,4,7205.23000000,201471.42000000,7205.23000000,0.03576304
WOSAT,2019,470,2,16,10950.77000000,46135.88000000,10950.77000000,0.23735908
WOSAT,2019,480,1,6,20033.58000000,371944.11000000,20033.58000000,0.05386180
WOSAT,2019,480,1,13,20265.91000000,371944.11000000,40299.49000000,0.10834824
WOSAT,2019,480,1,46,14771.33000000,371944.11000000,55070.82000000,0.14806208
WOSAT,2019,480,2,9,30354.92000000,89539.21000000,30354.92000000,0.33901260
WOSAT,2019,490,1,5,15460.26000000,640411.17000000,15460.26000000,0.02414115
WOSAT,2019,490,1,6,2644.60000000,640411.17000000,18104.86000000,0.02827068
WOSAT,2019,490,1,9,23239.31000000,640411.17000000,41344.17000000,0.06455879
WOSAT,2019,490,1,20,1456.17000000,640411.17000000,42800.34000000,0.06683259
WOSAT,2019,490,1,28,8175.85000000,640411.17000000,50976.19000000,0.07959916
WOSAT,2019,490,1,29,19531.06000000,640411.17000000,70507.25000000,0.11009685
WOSAT,2019,490,1,44,10246.52000000,640411.17000000,80753.77000000,0.12609675
WOSAT,2019,490,1,45,13942.51000000,640411.17000000,94696.28000000,0.14786794
WOSAT,2019,490,2,14,840.09000000,148187.65000000,840.09000000,0.00566910
WOSAT,2019,490,2,33,7430.00000000,148187.65000000,8270.09000000,0.05580823
WOSAT,2019,500,1,6,22727.36000000,1221032.21000000,22727.36000000,0.01861324
WOSAT,2019,500,1,8,55110.46000000,1221032.21000000,77837.82000000,0.06374756
WOSAT,2019,500,1,9,30866.06000000,1221032.21000000,108703.88000000,0.08902622
WOSAT,2019,500,1,11,30634.87000000,1221032.21000000,139338.75000000,0.11411554
WOSAT,2019,500,1,17,21532.92000000,1221032.21000000,160871.67000000,0.13175055
WOSAT,2019,500,1,28,19793.54000000,1221032.21000000,180665.21000000,0.14796105
WOSAT,2019,500,2,10,8894.99000000,253344.39000000,8894.99000000,0.03511027
WOSAT,2019,500,2,16,32327.65000000,253344.39000000,41222.64000000,0.16271385
WOSAT,2019,500,2,19,20698.71000000,253344.39000000,61921.35000000,0.24441571
WOSAT,2019,500,2,30,13952.71000000,253344.39000000,75874.06000000,0.29948980
WOSAT,2019,510,1,4,65928.52000000,1909451.39000000,65928.52000000,0.03452747
WOSAT,2019,510,1,5,18871.36000000,1909451.39000000,84799.88000000,0.04441060
WOSAT,2019,510,1,10,34.19000000,1909451.39000000,84834.07000000,0.04442850
WOSAT,2019,510,1,13,19455.98000000,1909451.39000000,104290.05000000,0.05461781
WOSAT,2019,510,1,15,23771.71000000,1909451.39000000,128061.76000000,0.06706731
WOSAT,2019,510,1,17,21285.19000000,1909451.39000000,149346.95000000,0.07821459
WOSAT,2019,510,1,21,23330.21000000,1909451.39000000,172677.16000000,0.09043287
WOSAT,2019,510,1,25,11243.18000000,1909451.39000000,183920.34000000,0.09632104
WOSAT,2019,510,1,28,18825.09000000,1909451.39000000,202745.43000000,0.10617994
WOSAT,2019,510,1,34,17911.05000000,1909451.39000000,220656.48000000,0.11556015
WOSAT,2019,510,1,38,24797.77000000,1909451.39000000,245454.25000000,0.12854700
WOSAT,2019,510,1,43,2009.39000000,1909451.39000000,247463.64000000,0.12959934
WOSAT,2019,510,2,13,16229.27000000,617246.08000000,16229.27000000,0.02629303
WOSAT,2019,510,2,14,20611.46000000,617246.08000000,36840.73000000,0.05968564
WOSAT,2019,510,2,29,14803.67000000,617246.08000000,51644.40000000,0.08366906
WOSAT,2019,520,1,4,58290.89000000,2660957.11000000,58290.89000000,0.02190599
WOSAT,2019,520,1,5,20203.93000000,2660957.11000000,78494.82000000,0.02949872
WOSAT,2019,520,1,6,47072.88000000,2660957.11000000,125567.70000000,0.04718892
WOSAT,2019,520,1,7,30423.41000000,2660957.11000000,155991.11000000,0.05862218
WOSAT,2019,520,1,10,10746.91000000,2660957.11000000,166738.02000000,0.06266092
WOSAT,2019,520,1,12,33988.52000000,2660957.11000000,200726.54000000,0.07543396
WOSAT,2019,520,1,13,17760.16000000,2660957.11000000,218486.70000000,0.08210831
WOSAT,2019,520,1,14,4882.22000000,2660957.11000000,223368.92000000,0.08394307
WOSAT,2019,520,1,15,1457.99000000,2660957.11000000,224826.91000000,0.08449099
WOSAT,2019,520,1,16,27697.59000000,2660957.11000000,252524.50000000,0.09489988
WOSAT,2019,520,1,18,22718.52000000,2660957.11000000,275243.02000000,0.10343760
WOSAT,2019,520,1,19,20556.44000000,2660957.11000000,295799.46000000,0.11116281
WOSAT,2019,520,1,21,3778.27000000,2660957.11000000,299577.73000000,0.11258270
WOSAT,2019,520,1,22,15174.84000000,2660957.11000000,314752.57000000,0.11828547
WOSAT,2019,520,1,25,16857.63000000,2660957.11000000,331610.20000000,0.12462065
WOSAT,2019,520,1,31,368.67000000,2660957.11000000,331978.87000000,0.12475920
WOSAT,2019,520,1,33,25964.44000000,2660957.11000000,357943.31000000,0.13451675
WOSAT,2019,520,1,34,23244.99000000,2660957.11000000,381188.30000000,0.14325233
WOSAT,2019,520,1,36,1584.71000000,2660957.11000000,382773.01000000,0.14384787
WOSAT,2019,520,1,37,16319.91000000,2660957.11000000,399092.92000000,0.14998097
WOSAT,2019,520,1,42,29284.52000000,2660957.11000000,428377.44000000,0.16098622
WOSAT,2019,520,1,46,13822.65000000,2660957.11000000,442200.09000000,0.16618084
WOSAT,2019,520,2,7,10078.12000000,689637.48000000,10078.12000000,0.01461365
WOSAT,2019,520,2,8,14040.39000000,689637.48000000,24118.51000000,0.03497274
WOSAT,2019,520,2,10,13595.92000000,689637.48000000,37714.43000000,0.05468733
WOSAT,2019,520,2,16,17773.90000000,689637.48000000,55488.33000000,0.08046014
WOSAT,2019,520,2,19,1.86000000,689637.48000000,55490.19000000,0.08046284
WOSAT,2019,520,2,22,11560.76000000,689637.48000000,67050.95000000,0.09722637
WOSAT,2019,520,2,28,14645.66000000,689637.48000000,81696.61000000,0.11846312
WOSAT,2019,520,2,42,2156.23000000,689637.48000000,83852.84000000,0.12158974
WOSAT,2019,530,1,7,33611.68000000,2664515.55000000,33611.68000000,0.01261456
WOSAT,2019,530,1,8,537.92000000,2664515.55000000,34149.60000000,0.01281644
