issuer_code,series_label,entity_name,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
DRIVE,DRIVE 2025-1,DRIVE AUTO RECEIVABLES TRUST 2025-1,2,370042.24000000,1406603541.20001459,370042.24000000,0.00026308
DRIVE,DRIVE 2025-1,DRIVE AUTO RECEIVABLES TRUST 2025-1,3,1328111.09000000,1406603541.20001459,1698153.33000000,0.00120727
DRIVE,DRIVE 2025-1,DRIVE AUTO RECEIVABLES TRUST 2025-1,4,5183308.02000000,1406603541.20001459,6881461.35000000,0.00489225
DRIVE,DRIVE 2025-1,DRIVE AUTO RECEIVABLES TRUST 2025-1,5,7811207.73000000,1406603541.20001459,14692669.08000000,0.01044549
DRIVE,DRIVE 2025-1,DRIVE AUTO RECEIVABLES TRUST 2025-1,6,11767871.63000000,1406603541.20001459,26460540.71000000,0.01881166
DRIVE,DRIVE 2025-1,DRIVE AUTO RECEIVABLES TRUST 2025-1,7,15066270.28000000,1406603541.20001459,41526810.99000000,0.02952275
DRIVE,DRIVE 2025-1,DRIVE AUTO RECEIVABLES TRUST 2025-1,8,15585279.79000000,1406603541.20001459,57112090.78000000,0.04060283
DRIVE,DRIVE 2025-1,DRIVE AUTO RECEIVABLES TRUST 2025-1,9,15500941.59000000,1406603541.20001459,72613032.37000000,0.05162296
DRIVE,DRIVE 2025-1,DRIVE AUTO RECEIVABLES TRUST 2025-1,10,13648781.82999999,1406603541.20001459,86261814.19999999,0.06132632
DRIVE,DRIVE 2025-1,DRIVE AUTO RECEIVABLES TRUST 2025-1,11,11377311.94999999,1406603541.20001459,97639126.14999999,0.06941482
DRIVE,DRIVE 2025-1,DRIVE AUTO RECEIVABLES TRUST 2025-1,12,9835008.17000001,1406603541.20001459,107474134.31999999,0.07640684
DRIVE,DRIVE 2025-1,DRIVE AUTO RECEIVABLES TRUST 2025-1,13,10370355.83000001,1406603541.20001459,117844490.15000001,0.08377946
DRIVE,DRIVE 2025-2,DRIVE AUTO RECEIVABLES TRUST 2025-2,1,61210.76000000,1770604828.28002095,61210.76000000,0.00003457
DRIVE,DRIVE 2025-2,DRIVE AUTO RECEIVABLES TRUST 2025-2,2,722768.00000000,1770604828.28002095,783978.76000000,0.00044277
DRIVE,DRIVE 2025-2,DRIVE AUTO RECEIVABLES TRUST 2025-2,3,1430295.19000000,1770604828.28002095,2214273.95000000,0.00125057
DRIVE,DRIVE 2025-2,DRIVE AUTO RECEIVABLES TRUST 2025-2,4,7415746.73000001,1770604828.28002095,9630020.68000001,0.00543883
DRIVE,DRIVE 2025-2,DRIVE AUTO RECEIVABLES TRUST 2025-2,5,9435486.09000000,1770604828.28002095,19065506.77000000,0.01076779
DRIVE,DRIVE 2025-2,DRIVE AUTO RECEIVABLES TRUST 2025-2,6,14881895.80000000,1770604828.28002095,33947402.57000001,0.01917277
DRIVE,DRIVE 2025-2,DRIVE AUTO RECEIVABLES TRUST 2025-2,7,17817376.72000000,1770604828.28002095,51764779.29000001,0.02923565
DRIVE,DRIVE 2025-2,DRIVE AUTO RECEIVABLES TRUST 2025-2,8,14955291.08000001,1770604828.28002095,66720070.37000001,0.03768208
DRIVE,DRIVE 2025-2,DRIVE AUTO RECEIVABLES TRUST 2025-2,9,14069708.27000002,1770604828.28002095,80789778.64000005,0.04562835
DRIVE,DRIVE 2017-1,Drive Auto Receivables Trust 2017-1,1,58724.82000000,1236642163.93000126,58724.82000000,0.00004749
DRIVE,DRIVE 2017-1,Drive Auto Receivables Trust 2017-1,2,354398.25000000,1236642163.93000126,413123.07000000,0.00033407
DRIVE,DRIVE 2017-1,Drive Auto Receivables Trust 2017-1,3,1696807.56000000,1236642163.93000126,2109930.63000000,0.00170618
DRIVE,DRIVE 2017-1,Drive Auto Receivables Trust 2017-1,4,4217601.39000000,1236642163.93000126,6327532.02000000,0.00511670
DRIVE,DRIVE 2017-1,Drive Auto Receivables Trust 2017-1,5,8005830.13000000,1236642163.93000126,14333362.15000000,0.01159055
DRIVE,DRIVE 2017-1,Drive Auto Receivables Trust 2017-1,6,11619308.27999999,1236642163.93000126,25952670.43000000,0.02098640
DRIVE,DRIVE 2017-1,Drive Auto Receivables Trust 2017-1,7,14624873.01999999,1236642163.93000126,40577543.44999999,0.03281268
DRIVE,DRIVE 2017-1,Drive Auto Receivables Trust 2017-1,8,14058105.65000001,1236642163.93000126,54635649.09999999,0.04418065
DRIVE,DRIVE 2017-1,Drive Auto Receivables Trust 2017-1,9,13070182.18000000,1236642163.93000126,67705831.28000000,0.05474974
DRIVE,DRIVE 2017-1,Drive Auto Receivables Trust 2017-1,10,12431849.21999998,1236642163.93000126,80137680.49999999,0.06480264
DRIVE,DRIVE 2017-1,Drive Auto Receivables Trust 2017-1,11,12185401.34000001,1236642163.93000126,92323081.83999999,0.07465626
DRIVE,DRIVE 2017-1,Drive Auto Receivables Trust 2017-1,12,11372830.74999999,1236642163.93000126,103695912.58999999,0.08385280
DRIVE,DRIVE 2017-1,Drive Auto Receivables Trust 2017-1,13,11658166.96000000,1236642163.93000126,115354079.54999998,0.09328008
DRIVE,DRIVE 2017-1,Drive Auto Receivables Trust 2017-1,14,11666555.71000001,1236642163.93000126,127020635.25999999,0.10271414
