issuer_code,vintage_year,fico_low,new_used,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
BMWOT,2013,830,1,58,15223.93000000,3539165.69000000,15223.93000000,0.00430156
BMWOT,2015,650,1,44,31375.90000000,322244.65000000,31375.90000000,0.09736671
BMWOT,2015,650,2,48,27931.98000000,542752.50000000,27931.98000000,0.05146357
BMWOT,2015,660,1,31,36166.00000000,1034827.50000000,36166.00000000,0.03494882
BMWOT,2015,660,2,30,23356.26000000,413078.08000000,23356.26000000,0.05654200
BMWOT,2015,670,1,40,64089.50000000,3121543.29000000,64089.50000000,0.02053135
BMWOT,2015,670,2,52,12704.81000000,1492542.85000000,12704.81000000,0.00851219
BMWOT,2015,690,2,38,10941.93000000,1145489.33000000,10941.93000000,0.00955219
BMWOT,2015,690,2,39,15034.07000000,1145489.33000000,25976.00000000,0.02267677
BMWOT,2015,700,2,33,21860.40000000,2577128.73000000,21860.40000000,0.00848246
BMWOT,2015,710,1,27,20736.26000000,5877931.89000000,20736.26000000,0.00352782
BMWOT,2015,720,2,39,22842.48000000,1953532.69000000,22842.48000000,0.01169291
BMWOT,2015,750,2,33,26006.26000000,2192587.50000000,26006.26000000,0.01186099
BMWOT,2016,600,2,19,31792.95000000,2301647.33000000,31792.95000000,0.01381313
BMWOT,2016,600,2,20,21418.85000000,2301647.33000000,53211.80000000,0.02311901
BMWOT,2016,600,2,36,16789.41000000,2301647.33000000,70001.21000000,0.03041353
BMWOT,2016,600,2,45,15048.95000000,2301647.33000000,85050.16000000,0.03695186
BMWOT,2016,600,2,46,2903.50000000,2301647.33000000,87953.66000000,0.03821335
BMWOT,2016,610,1,38,37616.73000000,1877354.29000000,37616.73000000,0.02003710
BMWOT,2016,610,2,24,35163.07000000,3683211.60000000,35163.07000000,0.00954685
BMWOT,2016,610,2,25,20487.53000000,3683211.60000000,55650.60000000,0.01510926
BMWOT,2016,610,2,27,21569.51000000,3683211.60000000,77220.11000000,0.02096543
BMWOT,2016,610,2,33,16023.45000000,3683211.60000000,93243.56000000,0.02531583
BMWOT,2016,620,1,27,10676.04000000,1475489.77000000,10676.04000000,0.00723559
BMWOT,2016,620,2,19,27537.41000000,2775743.74000000,27537.41000000,0.00992073
BMWOT,2016,620,2,29,18989.18000000,2775743.74000000,46526.59000000,0.01676185
BMWOT,2016,620,2,32,25175.03000000,2775743.74000000,71701.62000000,0.02583150
BMWOT,2016,620,2,38,14968.16000000,2775743.74000000,86669.78000000,0.03122398
BMWOT,2016,630,1,33,23976.49000000,1546674.04000000,23976.49000000,0.01550197
BMWOT,2016,630,2,22,32895.09000000,2969739.13000000,32895.09000000,0.01107676
BMWOT,2016,630,2,37,24738.64000000,2969739.13000000,57633.73000000,0.01940700
BMWOT,2016,640,1,26,24359.02000000,5335706.02000000,24359.02000000,0.00456529
BMWOT,2016,640,1,27,18187.06000000,5335706.02000000,42546.08000000,0.00797384
BMWOT,2016,640,1,41,63484.35000000,5335706.02000000,106030.43000000,0.01987187
BMWOT,2016,640,1,45,19470.79000000,5335706.02000000,125501.22000000,0.02352101
BMWOT,2016,640,2,26,17243.22000000,7288918.72000000,17243.22000000,0.00236568
BMWOT,2016,650,2,21,34873.78000000,6473711.74000000,34873.78000000,0.00538698
BMWOT,2016,650,2,30,27415.98000000,6473711.74000000,62289.76000000,0.00962195
BMWOT,2016,650,2,31,53529.48000000,6473711.74000000,115819.24000000,0.01789070
BMWOT,2016,650,2,36,22306.38000000,6473711.74000000,138125.62000000,0.02133639
BMWOT,2016,650,2,39,13992.29000000,6473711.74000000,152117.91000000,0.02349779
BMWOT,2016,650,2,54,7113.55000000,6473711.74000000,159231.46000000,0.02459662
BMWOT,2016,660,1,42,25557.64000000,6787866.42000000,25557.64000000,0.00376519
BMWOT,2016,660,2,27,29174.03000000,5691677.45000000,29174.03000000,0.00512573
BMWOT,2016,670,1,39,27790.05000000,14335979.66999999,27790.05000000,0.00193848
BMWOT,2016,670,1,41,38577.40000000,14335979.66999999,66367.45000000,0.00462943
BMWOT,2016,670,2,19,26874.48000000,11019935.57000000,26874.48000000,0.00243871
BMWOT,2016,670,2,26,22943.80000000,11019935.57000000,49818.28000000,0.00452074
BMWOT,2016,670,2,28,24284.26000000,11019935.57000000,74102.54000000,0.00672441
BMWOT,2016,670,2,33,28272.90000000,11019935.57000000,102375.44000000,0.00929002
BMWOT,2016,670,2,40,17899.42000000,11019935.57000000,120274.86000000,0.01091430
BMWOT,2016,680,2,19,32067.52000000,14361466.48999999,32067.52000000,0.00223289
BMWOT,2016,680,2,25,14667.90000000,14361466.48999999,46735.42000000,0.00325422
BMWOT,2016,680,2,30,29517.12000000,14361466.48999999,76252.54000000,0.00530952
BMWOT,2016,680,2,36,24091.55000000,14361466.48999999,100344.09000000,0.00698704
BMWOT,2016,680,2,38,22385.47000000,14361466.48999999,122729.56000000,0.00854575
BMWOT,2016,690,1,27,43500.93000000,20592069.09999999,43500.93000000,0.00211251
BMWOT,2016,690,2,21,29229.19000000,14865113.26999999,29229.19000000,0.00196629
BMWOT,2016,690,2,34,20906.10000000,14865113.26999999,50135.29000000,0.00337268
BMWOT,2016,690,2,37,21010.10000000,14865113.26999999,71145.39000000,0.00478606
BMWOT,2016,690,2,44,26111.34000000,14865113.26999999,97256.73000000,0.00654262
BMWOT,2016,700,1,33,65917.40000000,23470457.22000000,65917.40000000,0.00280853
BMWOT,2016,700,1,36,38380.83000000,23470457.22000000,104298.23000000,0.00444381
BMWOT,2016,700,2,27,19880.74000000,16757141.96000000,19880.74000000,0.00118640
BMWOT,2016,700,2,28,37363.48000000,16757141.96000000,57244.22000000,0.00341611
BMWOT,2016,700,2,29,34451.04000000,16757141.96000000,91695.26000000,0.00547201
BMWOT,2016,700,2,33,18689.87000000,16757141.96000000,110385.13000000,0.00658735
BMWOT,2016,700,2,37,12037.05000000,16757141.96000000,122422.18000000,0.00730567
BMWOT,2016,710,1,25,16096.05000000,24997121.05999997,16096.05000000,0.00064392
BMWOT,2016,710,2,17,29116.26000000,16669931.52999999,29116.26000000,0.00174663
BMWOT,2016,710,2,25,17854.37000000,16669931.52999999,46970.63000000,0.00281769
BMWOT,2016,710,2,29,18611.88000000,16669931.52999999,65582.51000000,0.00393418
BMWOT,2016,710,2,35,18698.98000000,16669931.52999999,84281.49000000,0.00505590
BMWOT,2016,710,2,42,20982.75000000,16669931.52999999,105264.24000000,0.00631462
BMWOT,2016,710,2,43,16657.97000000,16669931.52999999,121922.21000000,0.00731390
BMWOT,2016,710,2,56,12804.53000000,16669931.52999999,134726.74000000,0.00808202
BMWOT,2016,720,2,21,30377.74000000,13588180.33999999,30377.74000000,0.00223560
BMWOT,2016,720,2,25,29594.35000000,13588180.33999999,59972.09000000,0.00441355
BMWOT,2016,720,2,34,34977.68000000,13588180.33999999,94949.77000000,0.00698767
BMWOT,2016,720,2,56,8182.68000000,13588180.33999999,103132.45000000,0.00758986
BMWOT,2016,730,1,19,30264.34000000,26289839.68000000,30264.34000000,0.00115118
BMWOT,2016,730,1,23,27950.91000000,26289839.68000000,58215.25000000,0.00221436
BMWOT,2016,730,1,34,66175.97000000,26289839.68000000,124391.22000000,0.00473153
BMWOT,2016,740,1,22,20067.88000000,29896505.79999996,20067.88000000,0.00067124
BMWOT,2016,740,2,41,14004.66000000,16984043.29000000,14004.66000000,0.00082458
BMWOT,2016,750,1,24,42578.36000000,31480808.50999998,42578.36000000,0.00135252
BMWOT,2016,750,2,39,16194.75000000,16724400.52000000,16194.75000000,0.00096833
BMWOT,2016,760,2,34,22841.43000000,15715946.01000000,22841.43000000,0.00145339
BMWOT,2016,760,2,41,13668.18000000,15715946.01000000,36509.61000000,0.00232309
BMWOT,2016,770,1,28,32015.51000000,30458594.51000002,32015.51000000,0.00105112
BMWOT,2016,770,1,30,27524.61000000,30458594.51000002,59540.12000000,0.00195479
BMWOT,2016,770,2,50,7111.23000000,14263590.75000000,7111.23000000,0.00049856
BMWOT,2016,780,2,47,11568.03000000,15697511.73999999,11568.03000000,0.00073693
BMWOT,2016,790,2,33,12014.69000000,15730026.11999999,12014.69000000,0.00076381
BMWOT,2016,790,2,59,7459.87000000,15730026.11999999,19474.56000000,0.00123805
BMWOT,2016,840,1,19,59309.79000000,39802744.57999999,59309.79000000,0.00149009
BMWOT,2016,840,2,36,16353.52000000,16644873.41000001,16353.52000000,0.00098250
BMWOT,2016,840,2,37,14367.60000000,16644873.41000001,30721.12000000,0.00184568
BMWOT,2016,850,1,19,23509.87000000,42936609.12999997,23509.87000000,0.00054755
BMWOT,2016,850,2,30,35818.53000000,17571179.02000000,35818.53000000,0.00203848
BMWOT,2016,870,2,39,12511.56000000,10774321.33000000,12511.56000000,0.00116124
BMWOT,2017,610,1,15,52032.48000000,2596744.25000000,52032.48000000,0.02003758
BMWOT,2017,610,1,26,25389.34000000,2596744.25000000,77421.82000000,0.02981496
BMWOT,2017,610,1,40,24608.32000000,2596744.25000000,102030.14000000,0.03929156
BMWOT,2017,610,2,36,19674.44000000,1901864.45000000,19674.44000000,0.01034482
BMWOT,2017,620,1,15,98305.64000000,2965699.36000000,98305.64000000,0.03314754
BMWOT,2017,620,1,22,38261.02000000,2965699.36000000,136566.66000000,0.04604872
BMWOT,2017,620,1,32,27266.56000000,2965699.36000000,163833.22000000,0.05524269
BMWOT,2017,620,1,38,23605.56000000,2965699.36000000,187438.78000000,0.06320222
