issuer_code,series_label,entity_name,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
CMXS,CMXS 2024-A,CarMax Select Receivables Trust 2024-A,2,42913.38000000,766372585.62001395,42913.38000000,0.00005600
CMXS,CMXS 2024-A,CarMax Select Receivables Trust 2024-A,3,120801.95000000,766372585.62001395,163715.33000000,0.00021362
CMXS,CMXS 2024-A,CarMax Select Receivables Trust 2024-A,4,2190514.09000000,766372585.62001395,2354229.42000000,0.00307191
CMXS,CMXS 2024-A,CarMax Select Receivables Trust 2024-A,5,2442293.26000000,766372585.62001395,4796522.68000000,0.00625873
CMXS,CMXS 2024-A,CarMax Select Receivables Trust 2024-A,6,3045849.06000000,766372585.62001395,7842371.74000000,0.01023311
CMXS,CMXS 2024-A,CarMax Select Receivables Trust 2024-A,7,3292617.07000000,766372585.62001395,11134988.81000000,0.01452947
CMXS,CMXS 2024-A,CarMax Select Receivables Trust 2024-A,8,2635492.87000000,766372585.62001395,13770481.68000000,0.01796839
CMXS,CMXS 2024-A,CarMax Select Receivables Trust 2024-A,9,2659238.95000000,766372585.62001395,16429720.63000000,0.02143829
CMXS,CMXS 2024-A,CarMax Select Receivables Trust 2024-A,10,2875725.53000000,766372585.62001395,19305446.16000000,0.02519068
CMXS,CMXS 2024-A,CarMax Select Receivables Trust 2024-A,11,2505692.11000000,766372585.62001395,21811138.27000000,0.02846023
CMXS,CMXS 2024-A,CarMax Select Receivables Trust 2024-A,12,2803766.76000000,766372585.62001395,24614905.03000000,0.03211872
CMXS,CMXS 2024-A,CarMax Select Receivables Trust 2024-A,13,3868098.41000000,766372585.62001395,28483003.44000000,0.03716600
CMXS,CMXS 2024-A,CarMax Select Receivables Trust 2024-A,14,3460805.88000000,766372585.62001395,31943809.32000000,0.04168183
CMXS,CMXS 2024-A,CarMax Select Receivables Trust 2024-A,15,3515173.29000000,766372585.62001395,35458982.61000000,0.04626859
CMXS,CMXS 2024-A,CarMax Select Receivables Trust 2024-A,16,3210194.25000000,766372585.62001395,38669176.86000000,0.05045741
CMXS,CMXS 2024-A,CarMax Select Receivables Trust 2024-A,17,3628668.67000000,766372585.62001395,42297845.53000000,0.05519227
CMXS,CMXS 2024-A,CarMax Select Receivables Trust 2024-A,18,2382553.65000000,766372585.62001395,44680399.18000000,0.05830114
CMXS,CMXS 2024-A,CarMax Select Receivables Trust 2024-A,19,3320759.91000000,766372585.62001395,48001159.09000000,0.06263423
CMXS,CMXS 2024-A,CarMax Select Receivables Trust 2024-A,20,3205999.44000000,766372585.62001395,51207158.52999999,0.06681758
CMXS,CMXS 2024-A,CarMax Select Receivables Trust 2024-A,21,2596807.25000000,766372585.62001395,53803965.77999999,0.07020602
CMXS,CMXS 2025-A,CarMax Select Receivables Trust 2025-A,2,22929.79000000,940937096.92002320,22929.79000000,0.00002437
CMXS,CMXS 2025-A,CarMax Select Receivables Trust 2025-A,3,47616.00000000,940937096.92002320,70545.79000000,0.00007497
CMXS,CMXS 2025-A,CarMax Select Receivables Trust 2025-A,4,2788585.12000000,940937096.92002320,2859130.91000000,0.00303860
CMXS,CMXS 2025-A,CarMax Select Receivables Trust 2025-A,5,3013315.00000000,940937096.92002320,5872445.91000000,0.00624106
CMXS,CMXS 2025-A,CarMax Select Receivables Trust 2025-A,6,3190655.07000000,940937096.92002320,9063100.98000000,0.00963199
CMXS,CMXS 2025-A,CarMax Select Receivables Trust 2025-A,7,2608893.80000000,940937096.92002320,11671994.78000000,0.01240465
CMXS,CMXS 2025-A,CarMax Select Receivables Trust 2025-A,8,3143647.80000000,940937096.92002320,14815642.58000000,0.01574562
CMXS,CMXS 2025-A,CarMax Select Receivables Trust 2025-A,9,2935125.23000000,940937096.92002320,17750767.81000000,0.01886499
CMXS,CMXS 2025-A,CarMax Select Receivables Trust 2025-A,10,2987272.64000000,940937096.92002320,20738040.45000000,0.02203977
CMXS,CMXS 2025-A,CarMax Select Receivables Trust 2025-A,11,3278050.09000000,940937096.92002320,24016090.54000000,0.02552359
CMXS,CMXS 2025-A,CarMax Select Receivables Trust 2025-A,12,3161330.55000000,940937096.92002320,27177421.09000000,0.02888336
CMXS,CMXS 2025-B,CarMax Select Receivables Trust 2025-B,1,18631.03000000,1061016920.79003692,18631.03000000,0.00001756
CMXS,CMXS 2025-B,CarMax Select Receivables Trust 2025-B,3,173051.27000000,1061016920.79003692,191682.30000000,0.00018066
CMXS,CMXS 2025-B,CarMax Select Receivables Trust 2025-B,4,1972191.79000000,1061016920.79003692,2163874.09000000,0.00203943
CMXS,CMXS 2025-B,CarMax Select Receivables Trust 2025-B,5,2839535.96000000,1061016920.79003692,5003410.05000000,0.00471567
CMXS,CMXS 2025-B,CarMax Select Receivables Trust 2025-B,6,2370489.65000000,1061016920.79003692,7373899.70000000,0.00694984
