issuer_code,vintage_year,fico_low,new_used,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
MBART,2018,650,1,3,32872.43000000,20241526.70000000,32872.43000000,0.00162401
MBART,2018,650,1,5,124886.40000000,20241526.70000000,157758.83000000,0.00779382
MBART,2018,650,1,8,55437.82000000,20241526.70000000,213196.65000000,0.01053264
MBART,2018,650,1,9,75179.47000000,20241526.70000000,288376.12000000,0.01424676
MBART,2018,650,1,17,6111.04000000,20241526.70000000,294487.16000000,0.01454866
MBART,2018,650,1,21,30523.94000000,20241526.70000000,325011.10000000,0.01605665
MBART,2018,650,1,22,20062.15000000,20241526.70000000,345073.25000000,0.01704779
MBART,2018,650,1,24,42058.49000000,20241526.70000000,387131.74000000,0.01912562
MBART,2018,650,1,27,27019.95000000,20241526.70000000,414151.69000000,0.02046050
MBART,2018,650,1,28,25572.05000000,20241526.70000000,439723.74000000,0.02172384
MBART,2018,650,1,30,23112.88000000,20241526.70000000,462836.62000000,0.02286570
MBART,2018,650,1,33,27308.20000000,20241526.70000000,490144.82000000,0.02421481
MBART,2018,650,1,41,20890.79000000,20241526.70000000,511035.61000000,0.02524689
MBART,2018,650,1,44,69181.03000000,20241526.70000000,580216.64000000,0.02866467
MBART,2018,650,2,1,59816.50000000,31402004.73000000,59816.50000000,0.00190486
MBART,2018,650,2,2,21189.41000000,31402004.73000000,81005.91000000,0.00257964
MBART,2018,650,2,3,35104.31000000,31402004.73000000,116110.22000000,0.00369754
MBART,2018,650,2,5,25460.22000000,31402004.73000000,141570.44000000,0.00450832
MBART,2018,650,2,7,23397.25000000,31402004.73000000,164967.69000000,0.00525341
MBART,2018,650,2,8,147277.85000000,31402004.73000000,312245.54000000,0.00994349
MBART,2018,650,2,10,85692.70000000,31402004.73000000,397938.24000000,0.01267238
MBART,2018,650,2,11,59491.67000000,31402004.73000000,457429.91000000,0.01456690
MBART,2018,650,2,13,21141.27000000,31402004.73000000,478571.18000000,0.01524015
MBART,2018,650,2,14,25088.80000000,31402004.73000000,503659.98000000,0.01603910
MBART,2018,650,2,15,12561.15000000,31402004.73000000,516221.13000000,0.01643911
MBART,2018,650,2,16,14729.64000000,31402004.73000000,530950.77000000,0.01690818
