issuer_code,vintage_year,fico_low,new_used,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
WOSAT,2013,580,1,81,1218.51000000,135262.48000000,1218.51000000,0.00900848
WOSAT,2013,580,1,84,3491.82000000,135262.48000000,4710.33000000,0.03482363
WOSAT,2013,620,1,84,1586.36000000,96646.01000000,1586.36000000,0.01641413
WOSAT,2013,630,1,82,1899.55000000,97859.17000000,1899.55000000,0.01941106
WOSAT,2014,470,1,68,7205.23000000,80108.12000000,7205.23000000,0.08994382
WOSAT,2014,470,1,84,1388.97000000,80108.12000000,8594.20000000,0.10728251
WOSAT,2014,490,2,70,840.09000000,13465.65000000,840.09000000,0.06238763
WOSAT,2014,510,1,78,822.71000000,419824.46000000,822.71000000,0.00195965
WOSAT,2014,520,1,66,10746.91000000,474160.45000000,10746.91000000,0.02266513
WOSAT,2014,520,1,72,4177.59000000,474160.45000000,14924.50000000,0.03147563
WOSAT,2014,520,1,82,1457.99000000,474160.45000000,16382.49000000,0.03455052
WOSAT,2014,530,1,81,892.17000000,358978.09000000,892.17000000,0.00248530
WOSAT,2014,540,1,69,1854.28000000,880615.39000000,1854.28000000,0.00210566
WOSAT,2014,550,1,68,11265.16000000,722804.71000000,11265.16000000,0.01558534
WOSAT,2014,550,1,77,5814.82000000,722804.71000000,17079.98000000,0.02363014
WOSAT,2014,550,1,78,2487.55000000,722804.71000000,19567.53000000,0.02707167
WOSAT,2014,560,1,82,215.92000000,806329.03000000,215.92000000,0.00026778
WOSAT,2014,560,2,69,3241.40000000,117011.16000000,3241.40000000,0.02770163
WOSAT,2014,570,1,70,8102.55000000,1463642.46000000,8102.55000000,0.00553588
WOSAT,2014,570,1,71,7459.57000000,1463642.46000000,15562.12000000,0.01063246
WOSAT,2014,570,1,76,1334.34000000,1463642.46000000,16896.46000000,0.01154412
WOSAT,2014,570,1,84,798.72000000,1463642.46000000,17695.18000000,0.01208982
WOSAT,2014,570,2,76,3471.20000000,92950.44000000,3471.20000000,0.03734463
WOSAT,2014,570,2,82,2227.95000000,92950.44000000,5699.15000000,0.06131386
WOSAT,2014,580,1,65,179.01000000,2471764.07000000,179.01000000,0.00007242
WOSAT,2014,580,1,72,5784.98000000,2471764.07000000,5963.99000000,0.00241285
WOSAT,2014,580,1,78,911.01000000,2471764.07000000,6875.00000000,0.00278141
WOSAT,2014,580,1,83,1335.99000000,2471764.07000000,8210.99000000,0.00332191
WOSAT,2014,580,2,66,1282.95000000,122646.51000000,1282.95000000,0.01046055
WOSAT,2014,580,2,82,454.57000000,122646.51000000,1737.52000000,0.01416689
WOSAT,2014,590,1,64,8071.16000000,3400747.38000000,8071.16000000,0.00237335
WOSAT,2014,590,1,69,14022.02000000,3400747.38000000,22093.18000000,0.00649657
WOSAT,2014,590,1,84,3084.04000000,3400747.38000000,25177.22000000,0.00740344
WOSAT,2014,590,2,65,4346.82000000,349181.78000000,4346.82000000,0.01244859
WOSAT,2014,590,2,75,185.99000000,349181.78000000,4532.81000000,0.01298123
WOSAT,2014,600,1,66,6490.88000000,3891165.78000000,6490.88000000,0.00166811
WOSAT,2014,600,1,71,5779.69000000,3891165.78000000,12270.57000000,0.00315344
WOSAT,2014,600,1,76,1575.80000000,3891165.78000000,13846.37000000,0.00355841
WOSAT,2014,600,1,80,3054.29000000,3891165.78000000,16900.66000000,0.00434334
WOSAT,2014,600,1,81,808.68000000,3891165.78000000,17709.34000000,0.00455117
WOSAT,2014,600,2,67,1319.94000000,366586.42000000,1319.94000000,0.00360062
WOSAT,2014,610,1,63,13163.80000000,3567662.85000000,13163.80000000,0.00368975
WOSAT,2014,610,1,65,5252.64000000,3567662.85000000,18416.44000000,0.00516205
WOSAT,2014,610,1,67,2112.55000000,3567662.85000000,20528.99000000,0.00575418
WOSAT,2014,610,1,68,7620.72000000,3567662.85000000,28149.71000000,0.00789024
WOSAT,2014,610,1,71,5729.54000000,3567662.85000000,33879.25000000,0.00949620
