issuer_code,series_label,entity_name,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
BLAST,BLAST 2023-1,Bridgecrest Lending Auto Securitization Trust 2023-1,1,523518.17000000,658986017.42998683,523518.17000000,0.00079443
BLAST,BLAST 2023-1,Bridgecrest Lending Auto Securitization Trust 2023-1,2,1127444.69000000,658986017.42998683,1650962.86000000,0.00250531
BLAST,BLAST 2023-1,Bridgecrest Lending Auto Securitization Trust 2023-1,3,3848321.10000000,658986017.42998683,5499283.96000000,0.00834507
BLAST,BLAST 2023-1,Bridgecrest Lending Auto Securitization Trust 2023-1,4,7149938.77000000,658986017.42998683,12649222.73000000,0.01919498
BLAST,BLAST 2023-1,Bridgecrest Lending Auto Securitization Trust 2023-1,5,8767684.18000001,658986017.42998683,21416906.91000001,0.03249979
BLAST,BLAST 2023-1,Bridgecrest Lending Auto Securitization Trust 2023-1,6,8772616.77000001,658986017.42998683,30189523.68000001,0.04581209
BLAST,BLAST 2023-1,Bridgecrest Lending Auto Securitization Trust 2023-1,7,8483765.35000000,658986017.42998683,38673289.03000002,0.05868605
BLAST,BLAST 2023-1,Bridgecrest Lending Auto Securitization Trust 2023-1,8,9842625.69000000,658986017.42998683,48515914.72000001,0.07362207
BLAST,BLAST 2023-1,Bridgecrest Lending Auto Securitization Trust 2023-1,9,10438485.84000000,658986017.42998683,58954400.56000001,0.08946229
BLAST,BLAST 2023-1,Bridgecrest Lending Auto Securitization Trust 2023-1,10,9593818.49000001,658986017.42998683,68548219.05000001,0.10402075
BLAST,BLAST 2023-1,Bridgecrest Lending Auto Securitization Trust 2023-1,11,9835203.90000001,658986017.42998683,78383422.95000003,0.11894550
BLAST,BLAST 2023-1,Bridgecrest Lending Auto Securitization Trust 2023-1,12,9264310.13000000,658986017.42998683,87647733.08000003,0.13300393
BLAST,BLAST 2023-1,Bridgecrest Lending Auto Securitization Trust 2023-1,13,9107132.09000000,658986017.42998683,96754865.17000003,0.14682385
BLAST,BLAST 2023-1,Bridgecrest Lending Auto Securitization Trust 2023-1,14,9507549.06000000,658986017.42998683,106262414.23000003,0.16125139
BLAST,BLAST 2023-1,Bridgecrest Lending Auto Securitization Trust 2023-1,15,8793200.25000001,658986017.42998683,115055614.48000003,0.17459493
BLAST,BLAST 2023-1,Bridgecrest Lending Auto Securitization Trust 2023-1,16,9432150.48000000,658986017.42998683,124487764.96000004,0.18890805
BLAST,BLAST 2023-1,Bridgecrest Lending Auto Securitization Trust 2023-1,17,7844265.77999999,658986017.42998683,132332030.74000004,0.20081159
BLAST,BLAST 2023-1,Bridgecrest Lending Auto Securitization Trust 2023-1,18,9177868.71000000,658986017.42998683,141509899.45000005,0.21473885
BLAST,BLAST 2023-1,Bridgecrest Lending Auto Securitization Trust 2023-1,19,7613787.01000000,658986017.42998683,149123686.46000004,0.22629264
BLAST,BLAST 2023-1,Bridgecrest Lending Auto Securitization Trust 2023-1,20,9028487.63000000,658986017.42998683,158152174.09000003,0.23999322
BLAST,BLAST 2023-1,Bridgecrest Lending Auto Securitization Trust 2023-1,21,7760228.80000000,658986017.42998683,165912402.89000005,0.25176923
BLAST,BLAST 2023-1,Bridgecrest Lending Auto Securitization Trust 2023-1,22,8958922.65000000,658986017.42998683,174871325.54000005,0.26536424
BLAST,BLAST 2023-1,Bridgecrest Lending Auto Securitization Trust 2023-1,23,8313134.55000000,658986017.42998683,183184460.09000003,0.27797928
