issuer_code,vintage_year,fico_low,new_used,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
WOART,2010,630,2,84,1531.52000000,15768.05000000,1531.52000000,0.09712805
WOART,2011,560,2,74,1198.00000000,14718.56000000,1198.00000000,0.08139383
WOART,2011,580,2,75,2147.25000000,14504.00000000,2147.25000000,0.14804537
WOART,2011,590,1,83,533.29000000,50338.22000000,533.29000000,0.01059414
WOART,2011,590,2,72,2383.51000000,17073.00000000,2383.51000000,0.13960698
WOART,2011,610,2,68,1693.12000000,44313.84000000,1693.12000000,0.03820748
WOART,2011,630,1,84,1739.25000000,42596.36000000,1739.25000000,0.04083095
WOART,2011,680,2,81,1638.82000000,19541.00000000,1638.82000000,0.08386572
WOART,2011,730,1,71,4724.06000000,154039.28000000,4724.06000000,0.03066789
WOART,2011,730,1,79,418.74000000,154039.28000000,5142.80000000,0.03338629
WOART,2011,730,1,80,5161.95000000,154039.28000000,10304.75000000,0.06689690
WOART,2011,750,1,75,534.94000000,89438.02000000,534.94000000,0.00598113
WOART,2011,780,1,83,1189.93000000,123214.51000000,1189.93000000,0.00965739
WOART,2012,490,1,80,1236.74000000,55678.39000000,1236.74000000,0.02221221
WOART,2012,500,1,68,1969.99000000,132552.02000000,1969.99000000,0.01486201
WOART,2012,500,1,69,232.13000000,132552.02000000,2202.12000000,0.01661325
WOART,2012,520,1,63,3368.37000000,322485.35000000,3368.37000000,0.01044503
WOART,2012,520,1,83,696.91000000,322485.35000000,4065.28000000,0.01260609
WOART,2012,520,2,59,6146.38000000,78806.75000000,6146.38000000,0.07799307
WOART,2012,530,1,83,1646.38000000,169947.46000000,1646.38000000,0.00968758
WOART,2012,550,1,83,1055.92000000,466450.99000000,1055.92000000,0.00226373
WOART,2012,550,2,77,714.05000000,84474.63000000,714.05000000,0.00845283
WOART,2012,560,1,59,10569.12000000,705462.72000000,10569.12000000,0.01498183
WOART,2012,560,1,63,2909.48000000,705462.72000000,13478.60000000,0.01910604
WOART,2012,560,1,79,4546.01000000,705462.72000000,18024.61000000,0.02555005
WOART,2012,560,2,71,4653.16000000,113003.10000000,4653.16000000,0.04117728
WOART,2012,570,1,57,13020.75000000,907551.20000000,13020.75000000,0.01434712
WOART,2012,570,1,71,408.44000000,907551.20000000,13429.19000000,0.01479717
WOART,2012,570,1,75,1011.50000000,907551.20000000,14440.69000000,0.01591171
WOART,2012,570,1,77,2183.97000000,907551.20000000,16624.66000000,0.01831815
WOART,2012,570,1,80,852.28000000,907551.20000000,17476.94000000,0.01925725
WOART,2012,570,1,82,1892.75000000,907551.20000000,19369.69000000,0.02134281
WOART,2012,570,1,84,2908.55000000,907551.20000000,22278.24000000,0.02454764
WOART,2012,580,1,63,2326.28000000,2088021.20000000,2326.28000000,0.00111411
WOART,2012,580,1,65,4679.78000000,2088021.20000000,7006.06000000,0.00335536
WOART,2012,580,1,67,3425.59000000,2088021.20000000,10431.65000000,0.00499595
WOART,2012,580,1,68,2058.04000000,2088021.20000000,12489.69000000,0.00598159
WOART,2012,580,1,70,359.13000000,2088021.20000000,12848.82000000,0.00615359
WOART,2012,580,1,72,168.64000000,2088021.20000000,13017.46000000,0.00623435
WOART,2012,580,1,82,1864.05000000,2088021.20000000,14881.51000000,0.00712709
WOART,2012,580,1,83,752.20000000,2088021.20000000,15633.71000000,0.00748733
WOART,2012,580,2,73,2586.86000000,299346.14000000,2586.86000000,0.00864170
WOART,2012,580,2,74,437.46000000,299346.14000000,3024.32000000,0.01010309
WOART,2012,580,2,81,214.33000000,299346.14000000,3238.65000000,0.01081908
WOART,2012,590,1,64,11444.05000000,2883572.52000000,11444.05000000,0.00396871
WOART,2012,590,1,69,1941.52000000,2883572.52000000,13385.57000000,0.00464201
WOART,2012,590,1,71,0.45000000,2883572.52000000,13386.02000000,0.00464217
WOART,2012,590,1,72,669.54000000,2883572.52000000,14055.56000000,0.00487436
WOART,2012,590,1,76,556.20000000,2883572.52000000,14611.76000000,0.00506724
WOART,2012,590,1,81,343.66000000,2883572.52000000,14955.42000000,0.00518642
WOART,2012,590,1,84,7288.81000000,2883572.52000000,22244.23000000,0.00771412
WOART,2012,590,2,81,2643.30000000,451761.59000000,2643.30000000,0.00585110
WOART,2012,600,1,60,4716.65000000,2430430.85000000,4716.65000000,0.00194066
WOART,2012,600,1,61,10490.02000000,2430430.85000000,15206.67000000,0.00625678
WOART,2012,600,1,69,845.36000000,2430430.85000000,16052.03000000,0.00660460
WOART,2012,600,1,73,3702.81000000,2430430.85000000,19754.84000000,0.00812812
WOART,2012,600,1,76,1116.45000000,2430430.85000000,20871.29000000,0.00858749
WOART,2012,600,1,77,4005.10000000,2430430.85000000,24876.39000000,0.01023538
WOART,2012,600,1,80,5916.97000000,2430430.85000000,30793.36000000,0.01266992
WOART,2012,600,1,84,556.89000000,2430430.85000000,31350.25000000,0.01289905
WOART,2012,600,2,68,2323.09000000,609903.41000000,2323.09000000,0.00380895
WOART,2012,600,2,76,1624.45000000,609903.41000000,3947.54000000,0.00647240
WOART,2012,600,2,84,815.09000000,609903.41000000,4762.63000000,0.00780883
WOART,2012,610,1,55,13121.81000000,2322834.93000000,13121.81000000,0.00564905
WOART,2012,610,1,62,9839.01000000,2322834.93000000,22960.82000000,0.00988483
