issuer_code,vintage_year,fico_low,new_used,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
CRVNAP,2020,590,2,7,24644.91000000,4317468.42000000,24644.91000000,0.00570819
CRVNAP,2020,590,2,9,8534.94000000,4317468.42000000,33179.85000000,0.00768502
CRVNAP,2020,590,2,11,22165.12000000,4317468.42000000,55344.97000000,0.01281885
CRVNAP,2020,590,2,16,19779.14000000,4317468.42000000,75124.11000000,0.01740004
CRVNAP,2020,590,2,20,7458.24000000,4317468.42000000,82582.35000000,0.01912749
CRVNAP,2020,590,2,21,11751.52000000,4317468.42000000,94333.87000000,0.02184935
CRVNAP,2020,590,2,24,19373.40000000,4317468.42000000,113707.27000000,0.02633656
CRVNAP,2020,590,2,25,10585.71000000,4317468.42000000,124292.98000000,0.02878839
CRVNAP,2020,590,2,35,15735.06000000,4317468.42000000,140028.04000000,0.03243290
CRVNAP,2020,590,2,40,20312.29000000,4317468.42000000,160340.33000000,0.03713758
CRVNAP,2020,590,2,41,24941.85000000,4317468.42000000,185282.18000000,0.04291454
CRVNAP,2020,590,2,43,7435.09000000,4317468.42000000,192717.27000000,0.04463664
CRVNAP,2020,590,2,44,9782.56000000,4317468.42000000,202499.83000000,0.04690245
CRVNAP,2020,590,2,49,9677.87000000,4317468.42000000,212177.70000000,0.04914401
CRVNAP,2020,590,2,51,11626.13000000,4317468.42000000,223803.83000000,0.05183682
CRVNAP,2020,590,2,54,7043.10000000,4317468.42000000,230846.93000000,0.05346812
CRVNAP,2020,590,2,57,13209.98000000,4317468.42000000,244056.91000000,0.05652778
CRVNAP,2020,600,2,7,10627.11000000,15524181.77000000,10627.11000000,0.00068455
CRVNAP,2020,600,2,8,1666.98000000,15524181.77000000,12294.09000000,0.00079193
CRVNAP,2020,600,2,9,15771.96000000,15524181.77000000,28066.05000000,0.00180789
CRVNAP,2020,600,2,10,44155.92000000,15524181.77000000,72221.97000000,0.00465222
CRVNAP,2020,600,2,11,11228.20000000,15524181.77000000,83450.17000000,0.00537550
CRVNAP,2020,600,2,13,25921.20000000,15524181.77000000,109371.37000000,0.00704523
