reporting_date,fico_low,new_used,active_loans,new_repos
08-31-2019,420,1,1,0
08-31-2019,430,1,2,0
08-31-2019,440,1,4,0
08-31-2019,450,1,5,0
08-31-2019,450,2,4,0
08-31-2019,460,1,5,0
08-31-2019,460,2,4,0
08-31-2019,470,1,9,0
08-31-2019,470,2,3,0
08-31-2019,480,1,17,0
08-31-2019,480,2,3,0
08-31-2019,490,1,27,0
08-31-2019,490,2,9,0
08-31-2019,500,1,53,0
08-31-2019,500,2,14,0
08-31-2019,510,1,79,0
08-31-2019,510,2,36,0
08-31-2019,520,1,105,0
08-31-2019,520,2,42,0
08-31-2019,530,1,106,0
08-31-2019,530,2,55,0
08-31-2019,540,1,249,0
08-31-2019,540,2,71,0
08-31-2019,550,1,244,0
08-31-2019,550,2,83,0
08-31-2019,560,1,302,0
08-31-2019,560,2,115,0
08-31-2019,570,1,558,0
08-31-2019,570,2,151,0
08-31-2019,580,1,1495,0
08-31-2019,580,2,224,0
08-31-2019,590,1,1772,0
08-31-2019,590,2,305,0
08-31-2019,600,1,1888,0
08-31-2019,600,2,436,0
08-31-2019,610,1,1941,0
08-31-2019,610,2,445,0
08-31-2019,620,1,2526,0
08-31-2019,620,2,646,0
08-31-2019,630,1,2283,0
08-31-2019,630,2,633,0
08-31-2019,640,1,2791,0
08-31-2019,640,2,631,0
08-31-2019,650,1,243,0
08-31-2019,650,2,241,0
08-31-2019,660,1,327,0
08-31-2019,660,2,205,0
08-31-2019,670,1,269,0
08-31-2019,670,2,174,0
08-31-2019,680,1,244,0
08-31-2019,680,2,211,0
08-31-2019,690,1,223,0
08-31-2019,690,2,242,0
08-31-2019,700,1,354,0
08-31-2019,700,2,367,0
08-31-2019,710,1,277,0
08-31-2019,710,2,275,0
08-31-2019,720,1,410,0
08-31-2019,720,2,315,0
08-31-2019,730,1,420,0
08-31-2019,730,2,246,0
08-31-2019,740,1,320,0
08-31-2019,740,2,239,0
08-31-2019,750,1,322,0
08-31-2019,750,2,230,0
08-31-2019,760,1,259,0
08-31-2019,760,2,159,0
08-31-2019,770,1,273,0
08-31-2019,770,2,155,0
08-31-2019,780,1,211,0
08-31-2019,780,2,167,0
08-31-2019,790,1,205,0
08-31-2019,790,2,143,0
08-31-2019,800,1,180,0
08-31-2019,800,2,131,0
08-31-2019,810,1,163,0
08-31-2019,810,2,123,0
08-31-2019,820,1,139,0
08-31-2019,820,2,97,0
08-31-2019,830,1,125,0
08-31-2019,830,2,100,0
08-31-2019,840,1,122,0
08-31-2019,840,2,78,0
08-31-2019,850,1,106,0
08-31-2019,850,2,79,0
08-31-2019,860,1,65,0
08-31-2019,860,2,41,0
08-31-2019,870,1,27,0
08-31-2019,870,2,26,0
08-31-2019,880,1,2,0
08-31-2019,880,2,7,0
08-31-2019,890,2,2,0
09-30-2019,420,1,1,0
09-30-2019,430,1,2,0
