series,reporting_date,vintage_month,fico_low,fico_high,new_used,loan_count_current,loan_count_30_59,loan_count_60_plus,balance
Carvana Auto Receivables Trust 2020-P1,2021-01-31,3,590,600,2,234,0,0,3938512.379999997
Carvana Auto Receivables Trust 2020-P1,2021-01-31,3,600,610,2,774,0,0,14394897.869999994
Carvana Auto Receivables Trust 2020-P1,2021-01-31,3,610,620,2,719,0,0,13303153.350000009
Carvana Auto Receivables Trust 2020-P1,2021-01-31,3,620,630,2,832,0,0,15784053.989999965
Carvana Auto Receivables Trust 2020-P1,2021-01-31,3,630,640,2,925,0,0,17516747.830000028
Carvana Auto Receivables Trust 2020-P1,2021-01-31,3,640,650,2,1053,0,0,20185784.61000001
Carvana Auto Receivables Trust 2020-P1,2021-01-31,3,650,660,2,1206,0,0,23265631.279999997
Carvana Auto Receivables Trust 2020-P1,2021-01-31,3,660,670,2,1098,0,0,21832234.790000018
Carvana Auto Receivables Trust 2020-P1,2021-01-31,3,670,680,2,1049,0,0,20708682.419999987
Carvana Auto Receivables Trust 2020-P1,2021-01-31,3,680,690,2,1028,0,0,20125900.17000005
Carvana Auto Receivables Trust 2020-P1,2021-01-31,3,690,700,2,874,0,0,16985319.69999998
Carvana Auto Receivables Trust 2020-P1,2021-01-31,3,700,710,2,963,0,0,18883519.32999999
Carvana Auto Receivables Trust 2020-P1,2021-01-31,3,710,720,2,841,0,0,15892218.190000009
Carvana Auto Receivables Trust 2020-P1,2021-01-31,3,720,730,2,792,0,0,15301454.150000008
Carvana Auto Receivables Trust 2020-P1,2021-01-31,3,730,740,2,738,0,0,13929978.620000022
Carvana Auto Receivables Trust 2020-P1,2021-01-31,3,740,750,2,770,0,0,14446861.159999996
Carvana Auto Receivables Trust 2020-P1,2021-01-31,3,750,760,2,669,0,0,12493661.530000001
Carvana Auto Receivables Trust 2020-P1,2021-01-31,3,760,770,2,627,0,0,12344737.96
Carvana Auto Receivables Trust 2020-P1,2021-01-31,3,770,780,2,599,0,0,11460596.189999994
Carvana Auto Receivables Trust 2020-P1,2021-01-31,3,780,790,2,613,0,0,11648748.149999991
Carvana Auto Receivables Trust 2020-P1,2021-01-31,3,790,800,2,534,0,0,11071063.400000004
Carvana Auto Receivables Trust 2020-P1,2021-01-31,3,800,810,2,544,0,0,10591936.699999997
Carvana Auto Receivables Trust 2020-P1,2021-01-31,3,810,820,2,505,0,0,9865100.570000002
Carvana Auto Receivables Trust 2020-P1,2021-01-31,3,820,830,2,472,0,0,8802283.3
Carvana Auto Receivables Trust 2020-P1,2021-01-31,3,830,840,2,444,0,0,8404894.530000001
Carvana Auto Receivables Trust 2020-P1,2021-01-31,3,840,850,2,258,0,0,4919107.469999998
Carvana Auto Receivables Trust 2020-P1,2021-01-31,3,850,860,2,174,0,0,3204003.48
Carvana Auto Receivables Trust 2020-P1,2021-01-31,3,860,870,2,104,0,0,2037973.5799999996
Carvana Auto Receivables Trust 2020-P1,2021-01-31,3,870,880,2,62,0,0,1263955.4499999997
Carvana Auto Receivables Trust 2020-P1,2021-01-31,3,880,890,2,20,0,0,355659.6000000001
Carvana Auto Receivables Trust 2020-P1,2021-01-31,3,890,900,2,12,0,0,230013.38999999998
Carvana Auto Receivables Trust 2020-P1,2022-01-31,15,590,600,2,160,0,1,2317209.4399999995
Carvana Auto Receivables Trust 2020-P1,2022-01-31,15,600,610,2,548,17,8,8886780.009999998
Carvana Auto Receivables Trust 2020-P1,2022-01-31,15,610,620,2,485,11,6,7708124.579999995
Carvana Auto Receivables Trust 2020-P1,2022-01-31,15,620,630,2,585,10,8,9597284.240000002
Carvana Auto Receivables Trust 2020-P1,2022-01-31,15,630,640,2,685,9,7,11088740.540000001
Carvana Auto Receivables Trust 2020-P1,2022-01-31,15,640,650,2,783,13,8,12868724.74
Carvana Auto Receivables Trust 2020-P1,2022-01-31,15,650,660,2,949,15,5,15579605.860000007
Carvana Auto Receivables Trust 2020-P1,2022-01-31,15,660,670,2,859,14,7,14669607.039999979
Carvana Auto Receivables Trust 2020-P1,2022-01-31,15,670,680,2,824,13,5,13809933.750000002
Carvana Auto Receivables Trust 2020-P1,2022-01-31,15,680,690,2,814,11,5,13726409.939999996
Carvana Auto Receivables Trust 2020-P1,2022-01-31,15,690,700,2,663,4,0,10666698.050000004
Carvana Auto Receivables Trust 2020-P1,2022-01-31,15,700,710,2,765,4,6,12573818.959999982
Carvana Auto Receivables Trust 2020-P1,2022-01-31,15,710,720,2,632,5,1,9997699.800000006
Carvana Auto Receivables Trust 2020-P1,2022-01-31,15,720,730,2,618,4,2,10032104.260000002
Carvana Auto Receivables Trust 2020-P1,2022-01-31,15,730,740,2,573,2,6,9180139.120000003
Carvana Auto Receivables Trust 2020-P1,2022-01-31,15,740,750,2,615,3,2,9722610.820000006
Carvana Auto Receivables Trust 2020-P1,2022-01-31,15,750,760,2,527,1,5,8152447.39
Carvana Auto Receivables Trust 2020-P1,2022-01-31,15,760,770,2,502,2,0,8241123.01
Carvana Auto Receivables Trust 2020-P1,2022-01-31,15,770,780,2,450,2,2,7125022.469999997
Carvana Auto Receivables Trust 2020-P1,2022-01-31,15,780,790,2,483,1,2,7571715.679999991
