series,reporting_date,vintage_month,fico_low,fico_high,new_used,loan_count_current,loan_count_30_59,loan_count_60_plus,balance
CarMax Select Receivables Trust 2024-A,2025-01-31,8,360,370,2,2,0,0,14100.67
CarMax Select Receivables Trust 2024-A,2025-01-31,8,380,390,2,2,0,0,36703.93
CarMax Select Receivables Trust 2024-A,2025-01-31,8,390,400,2,3,0,0,44652.61
CarMax Select Receivables Trust 2024-A,2025-01-31,8,400,410,2,7,2,1,169545.76
CarMax Select Receivables Trust 2024-A,2025-01-31,8,410,420,2,6,1,2,153384.95
CarMax Select Receivables Trust 2024-A,2025-01-31,8,420,430,2,10,5,2,282234.43
CarMax Select Receivables Trust 2024-A,2025-01-31,8,430,440,2,21,5,1,401577.06999999995
CarMax Select Receivables Trust 2024-A,2025-01-31,8,440,450,2,24,4,5,480184.52
CarMax Select Receivables Trust 2024-A,2025-01-31,8,450,460,2,25,5,1,422623.1799999999
CarMax Select Receivables Trust 2024-A,2025-01-31,8,460,470,2,45,10,4,891644.6700000002
CarMax Select Receivables Trust 2024-A,2025-01-31,8,470,480,2,63,10,6,1214849.4400000004
CarMax Select Receivables Trust 2024-A,2025-01-31,8,480,490,2,88,15,10,1844365.47
CarMax Select Receivables Trust 2024-A,2025-01-31,8,490,500,2,111,15,9,2155919.74
CarMax Select Receivables Trust 2024-A,2025-01-31,8,500,510,2,110,20,20,2539770.940000001
CarMax Select Receivables Trust 2024-A,2025-01-31,8,510,520,2,185,33,19,4431153.820000001
CarMax Select Receivables Trust 2024-A,2025-01-31,8,520,530,2,227,47,26,6257951.140000004
CarMax Select Receivables Trust 2024-A,2025-01-31,8,530,540,2,695,93,60,18025553.44000003
CarMax Select Receivables Trust 2024-A,2025-01-31,8,540,550,2,817,94,63,20782882.83000001
CarMax Select Receivables Trust 2024-A,2025-01-31,8,550,560,2,1024,125,58,24525343.500000015
CarMax Select Receivables Trust 2024-A,2025-01-31,8,560,570,2,1083,143,75,26821941.330000073
CarMax Select Receivables Trust 2024-A,2025-01-31,8,570,580,1,1,0,0,3481.1
CarMax Select Receivables Trust 2024-A,2025-01-31,8,570,580,2,1389,125,62,31802506.630000014
CarMax Select Receivables Trust 2024-A,2025-01-31,8,580,590,2,1557,128,86,34955923.34000002
CarMax Select Receivables Trust 2024-A,2025-01-31,8,590,600,1,1,0,0,2576.47
CarMax Select Receivables Trust 2024-A,2025-01-31,8,590,600,2,1884,137,76,41699178.800000004
CarMax Select Receivables Trust 2024-A,2025-01-31,8,600,610,1,1,0,0,1508.54
CarMax Select Receivables Trust 2024-A,2025-01-31,8,600,610,2,2227,135,68,46585098.35000001
CarMax Select Receivables Trust 2024-A,2025-01-31,8,610,620,2,2396,120,80,50203948.369999975
CarMax Select Receivables Trust 2024-A,2025-01-31,8,620,630,2,2778,136,77,56041484.509999946
CarMax Select Receivables Trust 2024-A,2025-01-31,8,630,640,1,1,0,0,3754.2
CarMax Select Receivables Trust 2024-A,2025-01-31,8,630,640,2,2918,122,63,57959368.290000044
CarMax Select Receivables Trust 2024-A,2025-01-31,8,640,650,1,1,0,0,7160.56
CarMax Select Receivables Trust 2024-A,2025-01-31,8,640,650,2,3107,118,60,61150035.83999994
CarMax Select Receivables Trust 2024-A,2025-01-31,8,650,660,2,202,13,4,4559287.890000001
CarMax Select Receivables Trust 2024-A,2025-01-31,8,660,670,2,183,11,9,4519369.579999997
