series,reporting_date,vintage_month,fico_low,fico_high,new_used,loan_count_current,loan_count_30_59,loan_count_60_plus,balance
Exeter Select Automobile Receivables Trust 2025-1,2026-01-31,10,450,460,2,2,0,0,56302.630000000005
Exeter Select Automobile Receivables Trust 2025-1,2026-01-31,10,470,480,2,2,0,0,46305.14
Exeter Select Automobile Receivables Trust 2025-1,2026-01-31,10,480,490,1,1,0,0,28881.49
Exeter Select Automobile Receivables Trust 2025-1,2026-01-31,10,480,490,2,6,1,0,143782.15
Exeter Select Automobile Receivables Trust 2025-1,2026-01-31,10,490,500,1,1,0,0,37592.56
Exeter Select Automobile Receivables Trust 2025-1,2026-01-31,10,490,500,2,0,0,1,8851.57
Exeter Select Automobile Receivables Trust 2025-1,2026-01-31,10,500,510,1,0,1,0,29911.64
Exeter Select Automobile Receivables Trust 2025-1,2026-01-31,10,500,510,2,8,1,0,148111.34
Exeter Select Automobile Receivables Trust 2025-1,2026-01-31,10,510,520,1,0,1,0,46599.07
Exeter Select Automobile Receivables Trust 2025-1,2026-01-31,10,510,520,2,8,1,0,208870.19
Exeter Select Automobile Receivables Trust 2025-1,2026-01-31,10,520,530,2,10,0,1,294165.84
Exeter Select Automobile Receivables Trust 2025-1,2026-01-31,10,530,540,2,15,0,1,345842.2
Exeter Select Automobile Receivables Trust 2025-1,2026-01-31,10,540,550,2,19,0,0,368917.76000000007
Exeter Select Automobile Receivables Trust 2025-1,2026-01-31,10,550,560,1,4,0,0,105840.19
Exeter Select Automobile Receivables Trust 2025-1,2026-01-31,10,550,560,2,16,1,1,427449.79000000004
Exeter Select Automobile Receivables Trust 2025-1,2026-01-31,10,560,570,1,1,0,0,25871.99
Exeter Select Automobile Receivables Trust 2025-1,2026-01-31,10,560,570,2,31,3,2,746801.4
Exeter Select Automobile Receivables Trust 2025-1,2026-01-31,10,570,580,1,1,0,0,42550.18
Exeter Select Automobile Receivables Trust 2025-1,2026-01-31,10,570,580,2,39,1,1,858322.0700000001
Exeter Select Automobile Receivables Trust 2025-1,2026-01-31,10,580,590,1,1,0,0,29250.85
Exeter Select Automobile Receivables Trust 2025-1,2026-01-31,10,580,590,2,43,3,0,1132856.8899999997
Exeter Select Automobile Receivables Trust 2025-1,2026-01-31,10,590,600,1,4,0,0,143287.79
Exeter Select Automobile Receivables Trust 2025-1,2026-01-31,10,590,600,2,40,3,3,1125448.6999999997
Exeter Select Automobile Receivables Trust 2025-1,2026-01-31,10,600,610,1,2,0,0,55887.600000000006
Exeter Select Automobile Receivables Trust 2025-1,2026-01-31,10,600,610,2,61,0,1,1302249.9499999997
